,people,NPC,Capacity,Inv per HH
grid,3307228.0,1635.0,279.7,1811.0
microgrid,53140.0,44.0,4.9,2413.0
SHS,494925.0,230.0,217.1,1293.0
Total,3855293.0,1909.0,501.69999999999993,1624.0
