,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
196,SA_Diesel2012,Lowlands,351,66.47543748483159,99.0,0.6433656999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.6433656999999999,227.28578,9.749074,6.420291400000001,26.939465999999996,43.108833000000004,180165.88,752.7221,171083.03,0.0
244,SA_Diesel2012,Lowlands,160,78.39887093035661,99.0,0.7279656,99.0,99.0,MG_Hybrid_LowLands2025,0.7279656,268.0531,9.239775,7.296800599999999,17.540152,34.076725,234253.48,820.0939999999999,219828.75,0.0
257,SA_PV2012,Lowlands,193,51.79557249729663,99.0,0.66553396,99.0,99.0,MG_Hybrid_LowLands2025,0.66553396,177.09393,6.4627,5.340953400000001,16.772402,28.576054,150877.08,808.0824,143106.48,0.0
400,SA_PV2012,Lowlands,158,80.86358026808682,99.0,0.7475550999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.7475550999999999,276.4802,10.078308,7.477985400000001,17.919725,35.476017,246985.12,837.88153,231657.64,0.0
434,SA_PV2012,Highlands,4133,54.03068124459283,99.0,99.0,0.57999665,99.0,MG_Hybrid_HighLands2025,0.57999665,184.73598,12.134931,6.6848407000000005,43.383835,62.20360600000001,166499.06,711.8711,131508.2,0.0
535,SA_PV2012,Lowlands,232,59.1652774448736,99.0,0.6679299,99.0,99.0,MG_Hybrid_LowLands2025,0.6679299,202.29166,7.946796400000001,5.882844,22.628576000000002,36.458218,168610.36,788.9630000000001,159600.64,0.0
577,SA_Diesel2012,Lowlands,146,52.60126562195483,99.0,0.67607737,99.0,99.0,MG_Hybrid_LowLands2025,0.67607737,179.84868,6.1631374,5.4001293,13.188892999999998,24.752160999999997,154898.52,816.26575,146804.31,0.0
625,SA_PV2012,Highlands,4082,92.49115616860192,99.0,99.0,0.5328674,99.0,MG_Hybrid_HighLands2025,0.5328674,316.23596000000003,18.873962,10.40783,55.818813,85.10061,246823.23,586.4386,185452.97,0.0
691,SA_PV2012,Lowlands,219,50.99250562444543,99.0,0.715084,99.0,99.0,MG_Hybrid_LowLands2025,0.715084,174.34818,7.9064364000000005,5.2819977,25.452538,38.640972,160185.86,869.2295,151548.58,0.0
803,SA_PV2012,Highlands,3689,83.00004349603469,99.0,99.0,0.5117987,99.0,MG_Hybrid_HighLands2025,0.5117987,283.78494,17.01734,9.492356,53.161148,79.670845,217257.36,552.4885,156787.94,0.0
869,SA_PV2012,Highlands,1654,60.570299348560454,99.0,99.0,0.58931065,99.0,MG_Hybrid_HighLands2025,0.58931065,207.09555,13.303187,7.321682000000001,49.36436,69.98923,188194.42,678.82825,140582.31,0.0
996,SA_PV2012,Highlands,3792,51.8045791435894,99.0,99.0,0.5905249,99.0,MG_Hybrid_HighLands2025,0.5905249,177.12473,11.949857000000002,6.4690614,43.44283,61.861743999999995,163476.25,735.0715299999999,130199.34,0.0
1084,SA_Diesel2012,Lowlands,127,63.19024134673556,99.0,0.65086764,99.0,99.0,MG_Hybrid_LowLands2025,0.65086764,216.05337999999998,7.259908,6.1786103,12.971999,26.410519,173260.69,760.2332,164250.95,0.0
1086,SA_PV2012,Lowlands,168,60.160478961013965,99.0,0.65307283,99.0,99.0,MG_Hybrid_LowLands2025,0.65307283,205.69433999999998,7.582412700000001,5.955934,17.784626,31.322972999999998,167568.52,772.6573,158931.23,0.0
1235,SA_Diesel2012,Lowlands,379,80.69262899365296,99.0,0.5931996999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.5931996999999999,275.8957,10.87657,7.4655949999999995,29.68505,48.02721,196037.52,675.0585,186245.72,0.0
1242,SA_PV2012,Lowlands,249,55.547537149130584,99.0,0.7587746999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.7587746999999999,189.92226000000002,7.701676400000001,5.616875599999999,23.070135,36.388687,181189.9,896.8571,170333.12,0.0
1316,SA_PV2012,Highlands,3847,83.17794844575779,99.0,99.0,0.5243574000000001,99.0,MG_Hybrid_HighLands2025,0.5243574000000001,284.39322000000004,18.641417,9.506772999999999,61.95645,90.10464499999999,220133.64,585.919,166631.39,0.0
1417,Non,Lowlands,229,72.15170939741701,99.0,0.5985997,99.0,99.0,MG_Hybrid_LowLands2025,0.5985997,246.69348,8.994735,6.837600699999999,22.56989,38.402225,179430.38,691.11755,170494.2,0.0
1440,SA_Diesel2012,Lowlands,160,50.150105730056325,99.0,0.8875964,99.0,99.0,MG_Hybrid_LowLands2025,0.8875964,171.46793,5.8956013,5.219899,11.95922,23.074720000000003,193999.5,1056.39,181137.02,0.0
1551,SA_Diesel2012,Lowlands,181,53.018482836972254,99.0,0.66668844,99.0,99.0,MG_Hybrid_LowLands2025,0.66668844,181.27518,6.3389053,5.4308,13.369093,25.138798,153820.92,805.2312,145968.44,0.0
1585,SA_Diesel2012,Lowlands,254,72.3540080660912,99.0,0.6208098000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6208098000000001,247.38516,9.643844999999999,6.852442699999999,22.944176000000002,39.440459999999995,187116.78,718.49786,177745.7,0.0
