,people,NPC,Capacity,Inv per HH
grid,3299925.0,1628.1,279.0,1809.0
microgrid,62143.0,50.4,14.0,2429.0
SHS,493225.0,235.6,239.0,1326.0
Total,3855293.0,1914.1,532.0,1636.0
