,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
196,SA_Diesel2012,Lowlands,351,66.47543748483159,99.0,0.69636685,99.0,99.0,MG_Hybrid_LowLands2025,0.69636685,227.28578,4.507176,6.41964,11.112194,22.03901,182004.5,760.8116,172921.66,0.0
244,SA_Diesel2012,Lowlands,160,78.39887093035661,99.0,0.7837404,99.0,99.0,MG_Hybrid_LowLands2025,0.7837404,268.0531,5.0049887,7.296149300000001,13.119078,25.420216,232817.73,814.7377299999999,218392.98,0.0
257,SA_PV2012,Lowlands,193,51.79557249729663,99.0,0.71872914,99.0,99.0,MG_Hybrid_LowLands2025,0.71872914,177.09393,2.8240084999999997,5.340301999999999,10.271852,18.436161,151643.94,812.41266,143873.36,0.0
400,SA_PV2012,Lowlands,158,80.86358026808682,99.0,0.8030741,99.0,99.0,MG_Hybrid_LowLands2025,0.8030741,276.4802,5.2513309999999995,7.477334,13.384003,26.112667000000002,244542.03,829.04517,229214.56,0.0
434,SA_PV2012,Highlands,4133,54.03068124459283,99.0,99.0,0.6704289999999999,99.0,MG_Hybrid_HighLands2025,0.6704289999999999,184.73598,4.3025227,6.6846776,14.327882,25.315082999999998,174354.73,680.42926,125699.766,0.0
577,SA_Diesel2012,Lowlands,146,52.60126562195483,99.0,0.7306536,99.0,99.0,MG_Hybrid_LowLands2025,0.7306536,179.84868,2.6861892000000003,5.399478,10.641817,18.727484,153375.45,807.7972,145281.25,0.0
625,SA_PV2012,Highlands,4082,92.49115616860192,99.0,99.0,0.6192297,99.0,MG_Hybrid_HighLands2025,0.6192297,316.23596000000003,7.947444,10.407666,17.815217999999998,36.170326,267281.06,558.57605,176641.83,0.0
869,SA_PV2012,Highlands,1654,60.570299348560454,99.0,99.0,0.6819774000000001,99.0,MG_Hybrid_HighLands2025,0.6819774000000001,207.09555,3.4176919999999997,7.321519,13.353466000000001,24.092676,201048.2,640.3673,132617.22,0.0
996,SA_PV2012,Highlands,3792,51.8045791435894,99.0,99.0,0.68222094,99.0,MG_Hybrid_HighLands2025,0.68222094,177.12473,4.3649726,6.468898,14.058773,24.892643,171036.84,701.85095,124315.16,0.0
1084,SA_Diesel2012,Lowlands,127,63.19024134673556,99.0,0.7065266,99.0,99.0,MG_Hybrid_LowLands2025,0.7065266,216.05337999999998,3.5268247,6.1779589999999995,11.737664,21.442448000000002,170678.66,748.2823,161668.92,0.0
1086,SA_PV2012,Lowlands,168,60.160478961013965,99.0,0.70693386,99.0,99.0,MG_Hybrid_LowLands2025,0.70693386,205.69433999999998,3.5321559999999996,5.955282700000001,11.096762,20.5842,167136.06,770.5549,158498.77,0.0
1235,SA_Diesel2012,Lowlands,379,80.69262899365296,99.0,0.64555717,99.0,99.0,MG_Hybrid_LowLands2025,0.64555717,275.8957,6.026133,7.464943400000001,12.328294999999999,25.819370000000003,200428.77,690.97473,190636.95,0.0
1242,SA_PV2012,Lowlands,249,55.547537149130584,99.0,0.81032795,99.0,99.0,MG_Hybrid_LowLands2025,0.81032795,189.92226000000002,3.5278642,5.6162243,10.0991745,19.243263,184964.47,916.7314,174107.69,0.0
1417,Non,Lowlands,229,72.15170939741701,99.0,0.65179336,99.0,99.0,MG_Hybrid_LowLands2025,0.65179336,246.69348,4.8697867,6.836949300000001,11.874817,23.581553,181685.67,700.25964,172749.48,0.0
1440,SA_Diesel2012,Lowlands,160,50.150105730056325,99.0,0.94213337,99.0,99.0,MG_Hybrid_LowLands2025,0.94213337,171.46793,2.4402506,5.219248,10.45017,18.109667,191742.56,1043.2275,178880.08,0.0
1551,SA_Diesel2012,Lowlands,181,53.018482836972254,99.0,0.7211226,99.0,99.0,MG_Hybrid_LowLands2025,0.7211226,181.27518,2.7284353,5.4301486,10.656212,18.814795999999998,151960.61,794.9689,144108.12,0.0
1585,SA_Diesel2012,Lowlands,254,72.3540080660912,99.0,0.6746503,99.0,99.0,MG_Hybrid_LowLands2025,0.6746503,247.38516,4.816821,6.851791400000001,12.093506,23.76212,187265.2,719.0978,177894.12,0.0
1722,SA_Diesel2012,Lowlands,129,58.26044925072252,99.0,0.96039695,99.0,99.0,MG_Hybrid_LowLands2025,0.96039695,199.19795,3.1162612000000003,5.8155327,11.248558000000001,20.180353,221790.86,1035.4283,206255.22,0.0
1738,SA_PV2012,Highlands,4013,70.71605431791852,99.0,99.0,0.62281084,99.0,MG_Hybrid_HighLands2025,0.62281084,241.78484,6.653533,8.2989235,15.728479,30.680937,205746.1,579.49396,140112.86,0.0
1924,SA_Diesel2012,Lowlands,195,63.79072755633211,99.0,0.6854621999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.6854621999999999,218.1065,4.0048394,6.22221,11.246014,21.473063,171021.83,745.2183,162536.95,0.0
2119,SA_PV2012,Lowlands,230,59.112706375487136,99.0,0.72297204,99.0,99.0,MG_Hybrid_LowLands2025,0.72297204,202.11191000000002,3.8326468,5.8783335999999995,9.631307000000001,19.342287,171466.55,807.5445599999999,163214.36,0.0
2366,SA_PV2012,Highlands,3086,64.00638051534222,99.0,99.0,0.6415968000000001,99.0,MG_Hybrid_HighLands2025,0.6415968000000001,218.84384,4.1369486,7.652575,14.232504,26.022028,195819.55,601.11975,131551.36,0.0
2569,SA_Diesel2012,Lowlands,260,52.799684651842206,99.0,1.0776774,99.0,99.0,MG_Hybrid_LowLands2025,1.0776774,180.52708,3.2174764,5.414191000000001,9.928082,18.55975,236975.3,1216.3228,219579.2,0.0
2705,SA_PV2012,Highlands,4148,138.03493290861778,99.0,99.0,0.52022755,99.0,MG_Hybrid_HighLands2025,0.52022755,471.9544,12.39938,14.816112,21.347148999999998,48.56264,336929.62,419.61492999999996,198039.12,0.0
2838,SA_Diesel2012,Lowlands,141,89.69229744684748,99.0,0.6498658,99.0,99.0,MG_Hybrid_LowLands2025,0.6498658,306.6664,6.022842400000001,8.126416,14.389691000000001,28.53895,214004.53,662.86005,203276.9,0.0
2856,SA_Diesel2012,Lowlands,136,114.24040009376776,99.0,0.6247194,99.0,99.0,MG_Hybrid_LowLands2025,0.6247194,390.59866,8.100037,9.931187,17.35898,35.390205,259083.84,629.63464,245934.45,0.0
3048,SA_PV2012,Highlands,1834,95.63809175602265,99.0,99.0,0.5791605,99.0,MG_Hybrid_HighLands2025,0.5791605,326.99564,7.1312633000000005,10.71486,17.349445000000003,35.195568,260135.33,492.13953,160927.48,0.0
3084,SA_Diesel2012,Highlands,2501,60.34679717060821,99.0,99.0,0.64286447,99.0,MG_Hybrid_HighLands2025,0.64286447,206.33138,4.046727,7.297367599999999,14.621978,25.966072,184992.16,622.9372,128531.49,0.0
3211,SA_PV2012,Highlands,4153,63.595120706157076,99.0,99.0,0.6452604999999999,99.0,MG_Hybrid_HighLands2025,0.6452604999999999,217.4377,4.9200263,7.6107497,15.417034,27.947809999999997,194329.72,627.24054,136385.75,0.0
3551,SA_Diesel2012,Lowlands,214,56.06349129659958,99.0,0.724801,99.0,99.0,MG_Hybrid_LowLands2025,0.724801,191.68636,3.5033708,5.654141,10.029016,19.186526999999998,164960.77,817.5260000000001,156708.58,0.0
3586,Non,Lowlands,210,59.922606088403214,99.0,0.7074708000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.7074708000000001,204.88103,3.8168163,5.9378533,10.27375,20.02842,168768.33,783.8444,160594.84,0.0
3625,SA_PV2012,Lowlands,218,58.92652916259818,99.0,0.72443354,99.0,99.0,MG_Hybrid_LowLands2025,0.72443354,201.47534,3.8006883,5.864643599999999,9.433710000000001,19.099042999999998,171138.8,808.8598,162965.31,0.0
3780,SA_Diesel2012,Lowlands,157,75.22692801407752,99.0,0.6784147,99.0,99.0,MG_Hybrid_LowLands2025,0.6784147,257.20795,4.734192,7.062943499999999,12.791489,24.588625,192107.14,708.02527,182109.73,0.0
3781,Non,Lowlands,243,52.58514413809196,99.0,0.7243095,99.0,99.0,MG_Hybrid_LowLands2025,0.7243095,179.79355,2.970303,5.3983593,10.004717999999999,18.373379999999997,154438.34,816.2159,146750.36,0.0
3888,SA_Diesel2012,Lowlands,186,53.066847288853324,99.0,0.7588524999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.7588524999999999,181.44054,2.9356782000000003,5.433767,10.388444999999999,18.75789,163467.22,851.2843,154457.48,0.0
3942,SA_PV2012,Highlands,3353,65.06112693939403,99.0,99.0,0.6678396,99.0,MG_Hybrid_HighLands2025,0.6678396,222.45012000000003,4.2069197,7.7556534,13.358844,25.321417,208765.23,615.504,136918.94,0.0
3988,SA_PV2012,Highlands,2648,68.6630571612488,99.0,99.0,0.62145096,99.0,MG_Hybrid_HighLands2025,0.62145096,234.76546000000002,4.5283623,8.103043,15.231081,27.862485999999997,202024.12,575.8534,135190.48,0.0
4491,SA_PV2012,Lowlands,221,56.88457146466862,99.0,0.7061566999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.7061566999999999,194.4937,3.5047998,5.714494999999999,10.415598,19.634892999999998,162304.38,792.47235,154130.89,0.0
4507,SA_Diesel2012,Lowlands,231,63.9960754675141,99.0,0.7038885,99.0,99.0,MG_Hybrid_LowLands2025,0.7038885,218.80861000000002,4.2461357,6.23735,10.890704,21.37419,178098.5,773.1064,169162.33,0.0
4657,SA_PV2012,Lowlands,493,72.79561900035222,99.0,0.66904145,99.0,99.0,MG_Hybrid_LowLands2025,0.66904145,248.89507000000003,4.7269435,6.884227,12.293303,23.904472,185134.31,707.0400400000001,175978.78,0.0
4663,SA_PV2012,Lowlands,274,56.65062324598514,99.0,0.71853685,99.0,99.0,MG_Hybrid_LowLands2025,0.71853685,193.69382,3.405304,5.697270400000001,10.233661,19.336235000000002,162989.23,799.69025,154895.05,0.0
4664,SA_Diesel2012,Lowlands,143,114.96317096927072,99.0,0.627502,99.0,99.0,MG_Hybrid_LowLands2025,0.627502,393.0699,8.871417999999998,9.98437,16.840067,35.695854,264043.72,639.91345,251530.72,0.0
4869,SA_Diesel2012,Highlands,840,70.99356698309367,99.0,99.0,0.63295674,99.0,MG_Hybrid_HighLands2025,0.63295674,242.73369,4.0209007,8.33024,15.463733,27.814875,214677.81,576.3064,139888.98,0.0
4875,SA_PV2012,Highlands,2249,69.31075041848129,99.0,99.0,0.6452741,99.0,MG_Hybrid_HighLands2025,0.6452741,236.97997999999998,4.6416698,8.165833000000001,15.069676999999999,27.87718,212005.55,602.0079,142663.81,0.0
4941,SA_Diesel2012,Highlands,1040,50.337697532275136,99.0,99.0,0.6817339,99.0,MG_Hybrid_HighLands2025,0.6817339,172.10933,1.8391542,6.332114,13.122728,21.293997,174679.56,660.0443,113599.78,0.0
4960,SA_PV2012,Highlands,3837,89.4092751321653,99.0,99.0,0.64438397,99.0,MG_Hybrid_HighLands2025,0.64438397,305.69872999999995,6.0615335,10.112944,16.910772,33.08525,272035.16,570.4519700000001,174386.44,0.0
5346,SA_Diesel2012,Lowlands,203,68.6630571612488,99.0,0.68513364,99.0,99.0,MG_Hybrid_LowLands2025,0.68513364,234.76546000000002,4.6208754,6.580449000000001,11.270868,22.472193,182394.6,739.49084,173606.9,0.0
5443,Non,Lowlands,206,53.80805444852008,99.0,0.7247382,99.0,99.0,MG_Hybrid_LowLands2025,0.7247382,183.97481000000002,3.231014,5.4883055999999995,9.723228,18.442547,158860.7,821.2544,151090.11,0.0
5450,Non,Lowlands,222,73.37461970784511,99.0,0.68361974,99.0,99.0,MG_Hybrid_LowLands2025,0.68361974,250.87472999999997,5.193817,6.9268675,11.085322,23.206007,193096.25,733.7786,184086.52,0.0
5854,SA_PV2012,Highlands,3771,90.5154104253166,99.0,99.0,0.5940962,99.0,MG_Hybrid_HighLands2025,0.5940962,309.4807,6.246573000000001,10.219876,16.962067,33.428515999999995,253345.0,507.9547,157202.19,0.0
5975,SA_PV2012,Highlands,4078,50.35890104360049,99.0,99.0,0.67864496,99.0,MG_Hybrid_HighLands2025,0.67864496,172.18182,3.6435127,6.329482,14.243312,24.216307,166095.11,707.6355,121841.97,0.0
6102,SA_PV2012,Highlands,3584,98.09077006182899,99.0,99.0,0.6444506999999999,99.0,MG_Hybrid_HighLands2025,0.6444506999999999,335.38156000000004,9.169879,10.948666000000001,18.391764000000002,38.510307,293062.94,585.702,196433.66,0.0
6204,SA_PV2012,Lowlands,251,66.39979589260888,99.0,0.77433896,99.0,99.0,MG_Hybrid_LowLands2025,0.77433896,227.02715,4.4200473,6.4140754,11.245455,22.079576,203289.28,842.6836,191312.06,0.0
6284,SA_PV2012,Lowlands,253,63.983450974294996,99.0,0.78337866,99.0,99.0,MG_Hybrid_LowLands2025,0.78337866,218.76543999999998,4.1645246,6.236419000000001,11.0360985,21.437042,199358.98,857.09546,187502.88,0.0
6414,SA_Diesel2012,Lowlands,203,88.23368804078899,99.0,0.6233348000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6233348000000001,301.6793,6.129338300000001,8.019262,13.883914,28.032515000000004,204997.06,646.60675,195067.86,0.0
6441,SA_Diesel2012,Lowlands,207,78.10405455587873,99.0,0.67694116,99.0,99.0,MG_Hybrid_LowLands2025,0.67694116,267.0451,5.0379276,7.2744718,13.061322,25.373722,198134.8,703.5056,187867.73,0.0
6444,SA_PV2012,Highlands,3314,55.266804850406416,99.0,99.0,0.6799055,99.0,MG_Hybrid_HighLands2025,0.6799055,188.9624,2.8264658,6.807742999999999,13.214363,22.848572,184043.27,658.4276,124418.06,0.0
6764,SA_PV2012,Highlands,3924,53.245175251212814,99.0,99.0,0.6788086,99.0,MG_Hybrid_HighLands2025,0.6788086,182.05026,2.081743,6.6123330000000005,13.953517000000002,22.647593,178826.11,670.6997700000001,122101.07,0.0
7147,SA_Diesel2012,Lowlands,220,50.53098958068684,99.0,0.7354603,99.0,99.0,MG_Hybrid_LowLands2025,0.7354603,172.7702,3.0765182999999996,5.2474065,9.384582,17.708506,155555.34,855.86145,147867.36,0.0
7190,SA_Diesel2012,Lowlands,211,68.31467349209132,99.0,0.70865977,99.0,99.0,MG_Hybrid_LowLands2025,0.70865977,233.5743,4.6142715999999995,6.554847200000001,11.375094,22.544211999999998,188933.48,767.25433,179210.89,0.0
7199,SA_PV2012,Lowlands,478,93.21754023219485,99.0,0.63014257,99.0,99.0,MG_Hybrid_LowLands2025,0.63014257,318.71954,6.8562856,8.385721,14.171544,29.413551000000002,219792.97,655.5487,208936.19,0.0
7219,SA_Diesel2012,Lowlands,336,70.25295324962515,99.0,0.74167144,99.0,99.0,MG_Hybrid_LowLands2025,0.74167144,240.20146,4.709255000000001,6.697350999999999,11.706014999999999,23.112621,203319.39,798.11285,191707.88,0.0
7221,SA_Diesel2012,Lowlands,176,66.30263933813966,99.0,0.8024483,99.0,99.0,MG_Hybrid_LowLands2025,0.8024483,226.69496,4.249771,6.406901,11.460871000000001,22.117542,209263.2,866.6207,196458.55,0.0
7664,SA_Diesel2012,Lowlands,323,77.49281087773541,99.0,0.66457295,99.0,99.0,MG_Hybrid_LowLands2025,0.66457295,264.9552,5.031271,7.229543,12.945199,25.206013000000002,193295.5,692.8451,183572.9,0.0
7886,SA_Diesel2012,Lowlands,152,70.19253292619956,99.0,0.7363608,99.0,99.0,MG_Hybrid_LowLands2025,0.7363608,239.99487000000002,4.542086599999999,6.692819,11.243076,22.477982,196547.27,775.90643,186213.56,0.0
8083,SA_PV2012,Lowlands,228,57.67515951212636,99.0,0.72974527,99.0,99.0,MG_Hybrid_LowLands2025,0.72974527,197.1968,3.7096453,5.772651000000001,9.167956,18.650253,169856.16,820.30725,161761.97,0.0
8160,SA_Diesel2012,Lowlands,206,62.42870609769204,99.0,0.7391909999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.7391909999999999,213.44962,3.7582695,6.1220584,11.267557,21.147884,181469.55,802.7032,171336.69,0.0
8275,SA_Diesel2012,Lowlands,521,64.31256786152073,99.0,1.0150826,99.0,99.0,MG_Hybrid_LowLands2025,1.0150826,219.89072000000002,4.835525,6.2607303,9.9874525,21.083707999999998,266330.75,1123.215,246984.55,0.0
8279,SA_Diesel2012,Lowlands,247,84.83027286021891,99.0,0.65792733,99.0,99.0,MG_Hybrid_LowLands2025,0.65792733,290.0427,6.05483,7.769044,13.262425,27.0863,209335.08,686.8031,199202.22,0.0
8302,SA_Diesel2012,Lowlands,154,84.60764606180636,99.0,0.64130825,99.0,99.0,MG_Hybrid_LowLands2025,0.64130825,289.2815,5.531375,7.7525889999999995,13.849509,27.133471999999998,199669.58,656.61646,189946.98,0.0
