,people,NPC,Capacity,Inv per HH
grid,3323786.0,1648.0,280.5,1814.0
microgrid,38282.0,32.0,4.0,2507.0
SHS,493225.0,236.0,239.5,1326.0
Total,3855293.0,1916.0,524.0,1637.0
