,people,NPC,Capacity,Inv per HH
grid,3278704.0,1612.0,278.2,1806.0
microgrid,83364.0,60.0,7.6,2056.0
SHS,493225.0,236.0,239.5,1326.0
Total,3855293.0,1908.0,525.3,1631.0
