,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
16430,Non,Lowlands,283,62.36842676775448,99.0,0.65271467,99.0,0.5967591,Grid2025,0.5967591,213.24352000000002,0.0,0.0,0.0,10.029709,153648.38,605.1246,129038.89,3.5791004,213.24352000000002,0.0,-64.43956999999999,-17.299661999999998
16432,SA_PV2012,Lowlands,345,62.58712891223972,99.0,0.66621166,99.0,0.51284975,Grid2025,0.51284975,213.99129,0.0,0.0,0.0,10.056602,132455.4,512.1954,109605.35,2.0652072,217.42476000000002,3.4334822,-64.62276,-17.287344
16436,SA_PV2012,Highlands,2832,124.57729343344835,99.0,99.0,0.575187,0.40054256,Grid2025,0.40054256,425.9415,0.0,0.0,0.0,22.061552,235310.33,440.30994000000004,187546.27,0.13056989,936.5989999999999,510.6575,-64.962265,-17.724483
16445,SA_PV2012,Lowlands,236,74.81216657208331,99.0,0.6253179,99.0,0.40870404,Grid2025,0.40870404,255.78984,0.0,0.0,0.0,11.528134,123879.375,388.1178,99276.586,0.0066164406000000005,259.2372,3.4473830000000003,-64.670425,-17.096073
16492,SA_PV2012,Highlands,3391,52.80966274815195,99.0,99.0,0.6250785,0.490479,Grid2025,0.490479,180.5612,0.0,0.0,0.0,10.720153999999999,130297.734,597.84705,107947.984,1.6248993,225.78726,45.22605,-66.48333000000001,-17.47644
16494,Non,Highlands,2731,66.03715775753386,99.0,99.0,0.5644366,0.5028157999999999,Grid2025,0.5028157999999999,225.78726,0.0,0.0,0.0,12.787105,163399.84,598.6001,135156.27,4.252565,225.78726,0.0,-66.30702,-17.677588
16506,SA_Diesel2012,Lowlands,211,52.413055600420655,99.0,0.6899059000000001,99.0,0.5941936999999999,Grid2025,0.5941936999999999,179.20516999999998,0.0,0.0,0.0,8.776765,131295.84,616.6967,110515.24,2.7425146000000002,196.51854,17.313368,-64.87746,-16.989435
16507,SA_PV2012,Highlands,4038,60.12911140178299,99.0,99.0,0.58627146,0.38945088,Grid2025,0.38945088,205.58708000000001,0.0,0.0,0.0,11.86448,116241.89,454.23900000000003,93385.68,0.048161025999999996,209.06226999999998,3.4751844,-66.78067,-17.759420000000002
16508,SA_PV2012,Lowlands,233,73.80389278651025,99.0,0.6243079,99.0,0.60780984,Grid2025,0.60780984,252.34245,0.0,0.0,0.0,11.408667,181981.62,604.9088,152644.19,5.9592075,259.2372,6.894766000000001,-64.41915,-17.175539999999998
16510,SA_PV2012,Highlands,3626,70.11280091508752,99.0,99.0,0.55664885,0.39742702,Grid2025,0.39742702,239.72226,0.0,0.0,0.0,13.424204999999999,136415.19,456.8586,109519.18,0.9665545,246.69348,6.97122,-66.4691,-17.4546
