,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
199,SA_Diesel2012,SHS,257,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-62.156369999999995,-17.202171
200,MG_Diesel2012,SHS,239,2.2715583260928582,0.35,99.0,99.0,99.0,SHS2025,0.35,7.766671700000001,0.90862334,0.0,2.4987142,3.4073373999999994,3614.0493,378.17035,2937.125,0.0,-62.547869999999996,-16.638351
202,Non,SHS,250,4.891641314831258,0.35,99.0,99.0,99.0,SHS2025,0.35,16.724981,1.9566566000000003,0.0,5.3808055,7.3374619999999995,7782.6016,378.17035,6324.892,0.0,-62.08821999999999,-16.847777999999998
203,MG_Diesel2012,SHS,582,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-62.55826999999999,-16.287216
205,Non,SHS,284,4.891641314831258,0.35,99.0,99.0,99.0,SHS2025,0.35,16.724981,1.9566566000000003,0.0,5.3808055,7.3374619999999995,7782.6016,378.17035,6324.892,0.0,-61.933117,-17.718329999999998
206,SA_Diesel2012,SHS,396,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-63.08919,-18.578096
208,MG_Diesel2012,SHS,817,1.0325265113286155,0.35,99.0,99.0,99.0,SHS2025,0.35,3.5303053999999996,0.41301059999999995,0.0,1.1357791000000002,1.5487897,1642.7496,378.17035,1335.0568,0.0,-63.201298,-19.765873000000003
209,Non,SHS,244,22.012385915278287,0.35,99.0,99.0,99.0,SHS2025,0.35,75.26241999999999,8.804955,0.0,24.213625,33.018578000000005,35021.707,378.17035,28462.016,0.0,-62.73941800000001,-16.938135
211,MG_Diesel2012,SHS,514,0.6195159073821203,0.35,99.0,99.0,99.0,SHS2025,0.35,2.1181831,0.24780637,0.0,0.6814675,0.92927384,985.6498,378.17035,801.03406,0.0,-62.427130000000005,-16.227053
212,Non,SHS,794,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-63.23117,-20.410652
213,SA_Diesel2012,SHS,1898,5.306684728885331,0.35,99.0,99.0,99.0,SHS2025,0.35,18.144054,2.122674,0.0,5.837353,7.960027,8442.936,378.17035,6861.5435,0.0,-63.940666,-18.63401
214,SA_Diesel2012,SHS,331,5.098146616512031,0.35,99.0,99.0,99.0,SHS2025,0.35,17.431044,2.0392587,0.0,5.607961,7.64722,8111.1514,378.17035,6591.904,0.0,-61.934704,-16.844255
215,SA_PV2012,SHS,723,13.862991410063596,0.35,99.0,99.0,99.0,SHS2025,0.35,47.398872,5.545196499999999,0.0,15.24929,20.794487,22056.02,378.17035,17924.848,0.0,-63.44348000000001,-18.877674
216,MG_Diesel2012,SHS,858,5.549498626988761,0.35,99.0,99.0,99.0,SHS2025,0.35,18.974258,2.2197994999999997,0.0,6.1044483,8.324247999999999,8829.252,378.17035,7175.5019999999995,0.0,-63.672264,-19.555467999999998
218,MG_Diesel2012,SHS,574,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-62.429522999999996,-16.216639999999998
220,SA_Diesel2012,SHS,521,0.6195159073821203,0.35,99.0,99.0,99.0,SHS2025,0.35,2.1181831,0.24780637,0.0,0.6814675,0.92927384,985.6498,378.17035,801.03406,0.0,-62.525819999999996,-16.315207
221,Non,SHS,560,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-62.28998000000001,-16.26248
222,Non,SHS,419,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-61.721424,-16.960917000000002
223,MG_Diesel2012,SHS,244,18.58240319958501,0.35,99.0,99.0,99.0,SHS2025,0.35,63.534985,7.4329615,0.0,20.440642999999998,27.873606,29564.604,378.17035,24027.047000000002,0.0,-62.520866000000005,-16.751043
225,Non,SHS,452,6.114551642807884,0.35,99.0,99.0,99.0,SHS2025,0.35,20.906226999999998,2.4458206000000002,0.0,6.726007000000001,9.171827,9728.252,378.17035,7906.115,0.0,-62.450302,-16.14162
229,SA_PV2012,SHS,542,4.514939302335344,0.35,99.0,99.0,99.0,SHS2025,0.35,15.437002,1.8059756999999999,0.0,4.966433,6.772409,7183.2686,378.17035,5837.8164,0.0,-67.075676,-15.338296
231,SA_Diesel2012,SHS,151,1.6349045287704231,0.35,99.0,99.0,99.0,SHS2025,0.35,5.589892400000001,0.65396184,0.0,1.798395,2.4523568,2601.133,378.17035,2113.9316,0.0,-65.95331,-13.487478
233,SA_Diesel2012,SHS,192,4.497801408885327,0.35,99.0,99.0,99.0,SHS2025,0.35,15.378407000000001,1.7991205000000001,0.0,4.947582,6.746702,7156.0019999999995,378.17035,5815.656999999999,0.0,-67.778984,-12.011985000000001
234,SA_Diesel2012,SHS,3269,12.638048269347115,0.35,99.0,99.0,99.0,SHS2025,0.35,43.210674,5.055219,0.0,13.901854,18.957073,20107.135,378.17035,16340.996000000001,0.0,-66.66588,-17.465847
237,Non,SHS,3923,15.897834272470405,0.35,99.0,99.0,99.0,SHS2025,0.35,54.356190000000005,6.3591337,0.0,17.487617,23.846752,25293.455,378.17035,20555.9,0.0,-68.02385,-17.971464
239,SA_PV2012,SHS,187,12.638048269347115,0.35,99.0,99.0,99.0,SHS2025,0.35,43.210674,5.055219,0.0,13.901854,18.957073,20107.135,378.17035,16340.996000000001,0.0,-65.34258,-15.659162
240,Non,SHS,157,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-64.06750500000001,-12.874774
242,SA_PV2012,SHS,141,0.6195159073821203,0.35,99.0,99.0,99.0,SHS2025,0.35,2.1181831,0.24780637,0.0,0.6814675,0.92927384,985.6498,378.17035,801.03406,0.0,-63.996223,-13.378789999999999
243,Non,SHS,200,24.458206571231536,0.35,99.0,99.0,99.0,SHS2025,0.35,83.62491,9.783282,0.0,26.904028000000004,36.68731,38913.008,378.17035,31624.46,0.0,-66.742065,-14.920679000000002
