,HouseHolds
0,34.49345073526862
1,26.904027230109545
2,19.733878555476576
3,6.52552943635433
4,59.79004120726994
5,16.194829051470258
6,8.392067406612853
7,23.337841628677932
8,101.686933437393
9,20.011818822223002
10,13.103347951609301
11,14.184520927825368
12,14.369681729372319
13,28.114172091852268
14,28.396771393898042
15,33.185751172656175
16,7.998368497079718
17,24.2156994856861
18,34.8870086747117
19,0.20650530255819843
20,1.4294156311197752
21,14.674923941569025
22,1.8424262353587468
23,20.78947558730166
24,0.20650530255819843
25,93.51035321927121
26,0.20650530255819843
27,40.35604082907818
28,2.653342365466329
29,374.0610094064002
30,141.0847043196672
31,1.222910328561577
32,10.810727116453378
33,0.6195159073821203
34,18.80502998980824
35,5.508108005150924
36,3.6687309868546314
37,1.222910328561577
38,1.4294156311197752
39,43.33585374686569
40,8.56037229876114
41,5.098146616512031
42,9.809427172037587
43,1.222910328561577
44,2.8739363429497122
45,24.588053878706805
46,231.90975100954847
47,2.653342365466329
48,0.20650530255819843
49,18.542028990259073
50,59.92260608840322
51,5.162632577116341
52,1.4294156311197752
53,4.5149393023353435
54,7.771676088981129
55,19.56656525640028
56,2.0489315387943705
57,3.6687309868546314
58,1.2390318147642405
59,5.306684728885331
60,11.961327085493373
61,20.78947558730166
62,29.38005804338847
63,1.0325265113286157
64,15.763805170146892
65,12.520281637940059
66,18.375897916622637
67,11.625708862096515
68,10.652586279230096
69,2.445820657123154
70,7.168281665461871
71,0.41301060511639687
72,8.56037229876114
73,10.399749319982185
74,4.497801408885327
75,6.52552943635433
76,7.750472577655759
77,44.738701867137735
78,22.48988247222474
79,17.12074460044703
80,0.20650530255819843
81,0.20650530255819843
82,5.92010220535977
83,1.222910328561577
84,0.20650530255819843
85,16.33438797823557
86,29.10183578966595
87,5.098146616512031
88,97.19917511571707
89,0.826021210817744
90,10.196293233609012
91,15.897834272470403
92,58.6464150855292
93,324.40297110251475
94,7.337461970784513
95,12.468867966364279
96,18.542028990259073
97,18.05975723273938
98,1.222910328561577
99,13.452013613592397
100,91.3781632285223
101,68.118473257542
102,32.7404975863602
103,4.119066588914112
104,15.923978814845473
105,43.656201050886615
106,46.30838601093794
107,97.97108680927872
108,11.653886220721139
109,4.306401188499668
110,3.0653365633353733
111,27.017018601863384
112,13.077344411496531
113,7.750472577655759
114,9.416603672754064
115,231.78796692319116
116,17.12074460044703
117,0.41301060511639687
118,9.38232788877878
119,1.4455371152751137
120,12.293589232766225
121,3.490403036194131
122,30.056210652071197
123,2.4629585464785184
124,26.396204330090274
125,6.551673981654151
126,3.6687309868546314
127,107.74508077964211
128,23.191163213695386
129,62.3833908514669
130,64.82502968917387
131,8.56037229876114
132,74.42856979463974
133,6.944638474425733
134,17.99120563261656
135,6.319024134673557
136,15.326682837150127
137,17.950831432064874
138,30.958491691975546
139,1.4294156311197752
140,8.766877603659138
141,8.56037229876114
142,28.545905605594275
143,32.63185381360831
144,7.960027095229085
145,7.403980725410271
146,11.66797490003345
147,7.5842004959075195
148,52.25971477736103
149,8.56037229876114
150,12.127317136394225
151,35.093795947574925
152,10.244657708595613
153,5.098146616512031
154,9.610036706464522
155,29.250094564789826
156,13.925444523415981
157,16.110438004473906
158,13.452013613592397
159,9.990804336543317
160,18.775695248581666
161,98.85010673141578
162,7.337461970784513
163,14.33656333677324
164,48.94778070871346
165,3.490403036194131
166,49.8776456634957
167,2.684568932964106
168,15.92005419045817
169,39.80101087469602
170,16.744918006974963
171,8.195726155177482
172,22.012385915278287
173,19.770021345990678
174,20.987849649137075
175,7.542950867557734
176,959.0766725470434
177,62.00378062124607
178,1.222910328561577
179,17.12074460044703
180,14.674923941569025
181,6.114551642807885
182,17.152987576947005
183,8.766877603659138
