,people,NPC,Capacity,Inv per HH
grid,3307228.0,1635.0,279.7,1811.0
microgrid,53140.0,44.0,2.8,2413.0
SHS,494925.0,230.0,57.9,1293.0
Total,3855293.0,1909.0,340.4,1624.0
