,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
2487,SA_PV2012,Highlands,2597,69.28867150275583,99.0,99.0,0.57325023,99.0,MG_Hybrid_HighLands2025,0.57325023,236.90447999999998,6.615149000000001,8.163347,10.543130999999999,25.321627,192718.52,567.2095,134374.47,0.0
2569,SA_Diesel2012,Lowlands,260,52.799684651842206,99.0,1.0483278,99.0,99.0,MG_Hybrid_LowLands2025,1.0483278,180.52708,2.6229975,5.4145293,10.133347,18.170873999999998,238100.25,1222.5542,220704.14,0.0
2705,SA_PV2012,Highlands,4148,138.03493290861778,99.0,99.0,0.47311720000000007,99.0,MG_Hybrid_HighLands2025,0.47311720000000007,471.9544,16.316854,14.816191,19.370096,50.503143,318462.28,419.6528,198057.0,0.0
2838,SA_Diesel2012,Lowlands,141,89.69229744684748,99.0,0.6164324000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6164324000000001,306.6664,5.207653,8.126755000000001,7.8051977,21.139605,218625.39,677.92804,207897.75,0.0
2856,SA_Diesel2012,Lowlands,136,114.24040009376776,99.0,0.5894793,99.0,99.0,MG_Hybrid_LowLands2025,0.5894793,390.59866,7.196091,9.931525,9.349227,26.476845,263415.7,640.7249,250266.31,0.0
2919,SA_PV2012,Highlands,1124,50.337697532275136,99.0,99.0,0.6825251,99.0,MG_Hybrid_HighLands2025,0.6825251,172.10933,6.305867,6.3324766,9.9811735,22.619516,170939.19,684.9974,117894.43,0.0
3039,SA_PV2012,Highlands,2997,77.44111522064586,99.0,99.0,0.551204,99.0,MG_Hybrid_HighLands2025,0.551204,264.77847,7.5210414000000005,8.952821,11.583008999999999,28.05687,206342.78,530.92175,140576.64,0.0
3048,SA_PV2012,Highlands,1834,95.63809175602265,99.0,99.0,0.5236985,99.0,MG_Hybrid_HighLands2025,0.5236985,326.99564,9.799097,10.714939,13.711526000000001,34.225563,241956.77,484.24268,158345.23,0.0
3070,SA_PV2012,Highlands,2340,75.26365959184176,99.0,99.0,0.5580911,99.0,MG_Hybrid_HighLands2025,0.5580911,257.33353,6.650179,8.742227999999999,11.21295,26.605356,203431.36,543.47205,139853.58,0.0
3084,SA_Diesel2012,Highlands,2501,60.34679717060821,99.0,99.0,0.58750695,99.0,MG_Hybrid_HighLands2025,0.58750695,206.33138,5.2846303,7.297447,9.304166,21.886244,173921.55,601.36505,124080.48,0.0
3211,SA_PV2012,Highlands,4153,63.595120706157076,99.0,99.0,0.59081703,99.0,MG_Hybrid_HighLands2025,0.59081703,217.4377,6.164239,7.610829400000001,10.250761,24.02583,186741.4,606.77795,131936.4,0.0
3551,SA_Diesel2012,Lowlands,214,56.06349129659958,99.0,0.70007527,99.0,99.0,MG_Hybrid_LowLands2025,0.70007527,191.68636,3.0749948,5.6544795,8.821744,17.551218,167291.31,829.6841400000001,159039.12,0.0
3586,Non,Lowlands,210,59.922606088403214,99.0,0.6833704,99.0,99.0,MG_Hybrid_LowLands2025,0.6833704,204.88103,3.440145,5.938192,8.102276,17.480614000000003,171840.17,798.83765,163666.69,0.0
3625,SA_PV2012,Lowlands,218,58.92652916259818,99.0,0.7036563,99.0,99.0,MG_Hybrid_LowLands2025,0.7036563,201.47534,3.7050142,5.864982,7.499404400000001,17.0694,174575.77,825.9188,166402.28,0.0
3780,SA_Diesel2012,Lowlands,157,75.22692801407752,99.0,0.6443778,99.0,99.0,MG_Hybrid_LowLands2025,0.6443778,257.20795,3.8795156000000004,7.0632825,8.529057,19.471854999999998,195687.98,721.94727,185690.56,0.0
3781,Non,Lowlands,243,52.58514413809196,99.0,0.6971085,99.0,99.0,MG_Hybrid_LowLands2025,0.6971085,179.79355,2.3401701,5.398698,7.316807300000001,15.055675500000001,156528.05,827.83875,148840.06,0.0
3888,SA_Diesel2012,Lowlands,186,53.066847288853324,99.0,0.7271565,99.0,99.0,MG_Hybrid_LowLands2025,0.7271565,181.44054,2.141925,5.4341054,8.464672,16.040703,164887.62,859.11285,155877.9,0.0
3942,SA_PV2012,Highlands,3353,65.06112693939403,99.0,99.0,0.6114031999999999,99.0,MG_Hybrid_HighLands2025,0.6114031999999999,222.45012000000003,6.1334624,7.755733,9.56066,23.449856,191772.9,604.1699,134397.67,0.0
3988,SA_PV2012,Highlands,2648,68.6630571612488,99.0,99.0,0.5655975999999999,99.0,MG_Hybrid_HighLands2025,0.5655975999999999,234.76546000000002,6.0858717,8.103122,10.297194000000001,24.486187,188289.55,558.2189,131050.51,0.0
4011,Non,Highlands,2861,59.922606088403214,99.0,99.0,0.58132404,99.0,MG_Hybrid_HighLands2025,0.58132404,204.88103,4.609513,7.257099,9.030337,20.89695,169974.55,591.17285,121120.1,0.0
4020,SA_PV2012,Highlands,2377,50.55219309259715,99.0,99.0,0.63005006,99.0,MG_Hybrid_HighLands2025,0.63005006,172.8427,3.3527625,6.3503203,7.4131884999999995,17.116272,156848.98,670.72675,115930.23,0.0
4097,SA_PV2012,Highlands,2803,96.77576506964016,99.0,99.0,0.5221566,99.0,MG_Hybrid_HighLands2025,0.5221566,330.88544,10.289226,10.825731,13.722775,34.83773,243877.36,474.96826,157160.08,0.0
4491,SA_PV2012,Lowlands,221,56.88457146466862,99.0,0.6777108000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6777108000000001,194.4937,2.9079273,5.7148337,9.497800999999999,18.120562,164219.0,802.3165,156045.52,0.0
4507,SA_Diesel2012,Lowlands,231,63.9960754675141,99.0,0.67816323,99.0,99.0,MG_Hybrid_LowLands2025,0.67816323,218.80861000000002,3.8094616,6.2376885,9.500073,19.547224,181211.66,787.3341,172275.48,0.0
4526,SA_Diesel2012,Lowlands,454,54.63291827088639,99.0,0.7026858,99.0,99.0,MG_Hybrid_LowLands2025,0.7026858,186.79509,2.841134,5.5493073,9.743989,18.13443,165203.17,838.9851699999999,156718.31,0.0
