,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
34,SA_Diesel2012,SHS,155,18.805029989808236,0.36,99.0,99.0,99.0,SHS2025,0.36,64.296165,8.650313,0.0,22.566035999999997,31.21635,30708.612999999998,387.82202,24935.47,0.0,133.79985,69.503685,-58.632045999999995,-18.821346
35,SA_PV2012,SHS,596,5.508108005150924,0.36,99.0,99.0,99.0,SHS2025,0.36,18.832739,2.5337297999999997,0.0,6.60973,9.143459,8994.74,387.82202,7303.751,0.0,29.268719,10.435979,-63.371959999999994,-18.019243
36,Non,SHS,537,3.668730986854632,0.36,99.0,99.0,99.0,SHS2025,0.36,12.543736,1.6876162000000001,0.0,4.4024773,6.090093599999999,5991.0376,387.82202,4864.7373,0.0,12.543736,0.0,-62.432430000000004,-16.219528
37,Non,SHS,267,1.2229103285615772,0.36,99.0,99.0,99.0,SHS2025,0.36,4.1812453000000005,0.56253874,0.0,1.4674923,2.0300312,1997.0126,387.82202,1621.5791,0.0,4.1812453000000005,0.0,-61.108619999999995,-17.299973
38,MG_Diesel2012,SHS,539,1.4294156311197752,0.36,99.0,99.0,99.0,SHS2025,0.36,4.8873067,0.6575312,0.0,1.7152988,2.37283,2334.2358,387.82202,1895.4052,0.0,8.362491,3.4751844,-62.427624,-16.207085
39,MG_Diesel2012,SHS,226,43.335853746865695,0.36,99.0,99.0,99.0,SHS2025,0.36,148.16936,19.934492000000002,0.0,52.003025,71.937515,70767.445,387.82202,57463.344000000005,0.0,301.04967999999997,152.88031,-63.030716000000005,-15.770339000000002
40,Non,SHS,894,8.56037229876114,0.36,99.0,99.0,99.0,SHS2025,0.36,29.268719,3.9377712999999996,0.0,10.272447,14.210218,13979.088,387.82202,11351.053999999998,0.0,29.268719,0.0,-63.518917,-19.55118
41,MG_Diesel2012,SHS,1924,5.098146616512031,0.36,99.0,99.0,99.0,SHS2025,0.36,17.431044,2.3451473999999997,0.0,6.117776,8.462923,8325.273000000001,387.82202,6760.1426,0.0,20.906226999999998,3.4751844,-63.996178,-18.369944
42,SA_PV2012,SHS,682,9.809427172037589,0.36,99.0,99.0,99.0,SHS2025,0.36,33.539356,4.5123367,0.0,11.771313000000001,16.28365,16018.795,387.82202,13007.301000000001,0.0,75.26241999999999,41.723064,-63.475113,-17.977407
43,Non,SHS,237,1.2229103285615772,0.36,99.0,99.0,99.0,SHS2025,0.36,4.1812453000000005,0.56253874,0.0,1.4674923,2.0300312,1997.0126,387.82202,1621.5791,0.0,4.1812453000000005,0.0,-63.21184,-16.940466
44,SA_PV2012,SHS,110,2.873936342949712,0.36,99.0,99.0,99.0,SHS2025,0.36,9.826259,1.3220108,0.0,3.4487236000000006,4.7707343,4693.138,387.82202,3810.8396,0.0,37.631209999999996,27.80495,-58.339027,-17.646503
45,SA_Diesel2012,SHS,265,24.588053878706802,0.36,99.0,99.0,99.0,SHS2025,0.36,84.06886999999999,11.310505000000001,0.0,29.505665000000004,40.81617,40152.293,387.82202,32603.76,0.0,271.78094,187.71208000000001,-62.345997,-17.248607999999997
46,MG_Diesel2012,Highlands,1375,231.90975100954844,99.0,99.0,0.38485727,0.21196477,Grid2025,0.21196477,890.9597,0.0,0.0,0.0,38.930813,226544.94,173.65433000000002,154719.0,0.080529675,4200.9976,3310.0378,-64.580864,-18.093754
47,SA_Diesel2012,SHS,309,2.653342365466329,0.36,99.0,99.0,99.0,SHS2025,0.36,9.072027,1.2205375,0.0,3.1840107000000004,4.404548,4332.907999999999,387.82202,3518.3320000000003,0.0,12.543736,3.4717093,-62.491040000000005,-16.543785
48,SA_PV2012,SHS,261,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-62.080666,-17.21099
49,SA_Diesel2012,SHS,229,18.542028990259077,0.36,99.0,99.0,99.0,SHS2025,0.36,63.396942,8.529333,0.0,22.250435,30.779768,30279.132999999998,387.82202,24586.73,0.0,66.899925,3.502986,-63.480731999999996,-16.553933999999998
50,Non,Lowlands,251,59.922606088403214,99.0,0.67671204,99.0,0.5705351,Grid2025,0.5705351,204.88103,0.0,0.0,0.0,9.727264,141779.38,579.1768,118662.34,3.3318517,204.88103,0.0,-64.13213,-17.053060000000002
