,Total GHI Energy
455,2492.395
456,2402.523
457,2581.846
458,2517.842
459,2560.172
460,2562.813
461,2494.477
462,2491.66
463,1815.357
464,1797.771
465,1768.716
466,1773.388
467,1790.721
468,1779.825
469,1786.636
470,2485.509
471,2379.671
472,2388.689
473,2455.986
474,2494.281
475,2453.771
476,2359.712
477,2386.211
478,2411.195
479,2575.328
480,2461.434
481,2554.555
482,2473.274
483,2557.891
484,2494.089
485,2464.613
486,2417.4
487,2438.373
488,2474.678
489,2428.916
490,2376.228
491,2430.039
492,2378.643
493,2454.068
494,2553.577
495,2622.795
496,2342.254
497,2511.672
498,2381.005
499,2475.789
500,2512.413
501,2437.934
502,2425.231
503,2508.918
504,2524.883
505,2478.604
506,2445.44
507,2371.653
508,2442.293
509,2358.256
510,2493.426
511,2559.538
512,2537.42
513,2561.555
514,2462.669
515,2514.999
516,2531.931
517,2540.971
518,2039.33
519,2124.542
520,2130.071
521,1999.208
522,2064.212
523,1991.948
524,2038.911
525,1992.083
526,1998.436
527,2131.344
528,2044.266
529,1989.171
530,2139.542
531,2019.23
532,2135.781
533,2001.487
534,1997.705
535,2005.699
536,2130.25
537,1991.628
538,2127.915
539,2042.272
540,2026.169
541,1977.126
542,2056.101
543,2056.847
544,1987.01
545,2312.623
546,2201.221
547,2200.353
548,2312.635
549,2228.12
550,2222.497
551,2431.357
552,2352.154
553,2503.588
554,2538.344
555,2183.15
556,2478.207
557,2569.881
558,2494.854
559,2349.901
560,2366.708
561,1991.336
562,2357.837
563,2036.396
564,1922.51
565,2178.877
566,2024.756
567,2162.736
568,1768.092
569,1821.379
570,1770.156
571,1782.21
572,1822.932
573,1853.956
574,1773.978
575,1784.216
576,1772.251
577,1799.933
578,1765.916
579,1865.422
580,1774.192
581,1782.36
582,1772.508
583,2268.834
584,2168.932
585,2134.674
586,2077.365
587,2333.638
588,2234.563
589,2049.941
590,1951.769
591,1940.933
592,2084.551
593,2337.101
594,2305.128
595,2264.757
596,2297.472
597,2189.947
598,1928.985
599,1878.676
600,2434.708
601,2499.127
602,1867.194
603,2022.279
604,2341.836
605,2262.143
606,1879.353
607,2492.021
608,1886.946
609,2129.818
610,2485.347
611,2487.643
612,2342.91
613,2438.191
614,1911.343
615,1856.625
616,1846.168
617,1889.304
618,1931.298
619,1861.815
620,2506.878
621,1859.597
622,2435.199
623,2362.894
624,1797.833
625,2506.184
626,2484.885
627,2503.389
628,2499.852
629,2486.653
630,2500.578
631,2568.424
632,2525.806
633,2499.255
634,2496.235
635,2548.02
636,2501.749
637,2518.153
638,2394.501
639,2549.538
640,2540.843
641,2481.129
642,2561.292
643,2374.603
644,2593.829
645,2532.482
646,2492.906
647,1788.8
648,1768.779
649,1774.351
650,1785.717
651,2454.155
652,2327.745
653,2394.791
654,2443.376
655,2449.12
656,2505.811
657,2355.89
658,2310.912
659,2455.963
660,2473.579
661,2458.768
662,2363.546
663,2437.206
664,2656.686
665,2511.595
666,2419.262
667,2441.458
668,2574.448
669,2427.41
670,2404.485
671,2441.217
672,2437.833
673,2342.222
674,2536.813
675,2545.607
676,2355.497
677,2346.417
678,2614.339
679,2376.982
680,2578.246
681,2445.299
682,2430.529
683,2423.491
684,2349.486
685,2331.515
686,2004.349
687,2029.029
688,2037.04
689,2016.005
690,1987.869
691,2007.018
692,1993.069
693,2151.545
694,1948.193
695,2004.452
696,2112.735
697,1993.185
698,1993.67
699,2024.857
700,2004.255
701,1975.857
702,2150.396
703,2031.328
704,1997.43
705,2002.761
706,1991.365
707,2150.709
708,1998.627
709,2003.409
710,2100.746
711,2175.969
712,2033.276
713,2026.103
714,1992.071
715,2036.036
716,2139.698
717,2186.106
718,2149.769
719,2043.135
720,2132.615
721,2003.321
722,1963.285
723,2112.414
724,2093.007
725,2082.648
726,2013.755
727,2093.546
728,2030.986
729,2173.541
730,2211.966
731,2192.913
732,1847.444
733,2021.469
734,2026.628
735,2473.361
736,2504.376
737,1798.086
738,2246.76
739,2374.269
740,1770.127
741,2311.295
742,2568.179
743,2372.143
744,2154.268
745,1841.615
746,1802.068
747,1780.947
748,1807.391
749,1839.991
750,1767.707
751,1777.32
752,1858.157
753,1815.857
754,1867.456
755,1779.239
756,1819.553
757,1782.832
758,1840.798
759,1874.281
760,1824.059
761,1790.819
762,1771.562
763,1876.728
764,1835.246
765,1776.32
766,1840.995
767,1822.173
768,2287.334
769,2045.69
770,2127.402
771,2350.465
772,2256.179
773,2202.746
774,2140.855
775,2294.772
776,2368.046
777,2039.095
778,1936.775
779,2040.956
780,2313.672
781,2125.621
782,2371.304
783,2245.671
784,2087.304
785,2196.939
786,2354.488
787,2168.597
788,2315.566
789,2442.475
790,2127.441
791,2298.117
792,2446.974
793,2073.459
794,1898.433
795,1848.444
796,2235.58
797,1764.03
798,2336.1
