,0,1,2,3,4,5
0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0.0,-0.0,0.0,-0.0,0.0,0.0
2,0.0,0.0,-0.0,0.0,-0.0,0.0
3,-0.0,0.0,-0.0,0.0,0.0,-0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.6248273041852795,0.6286661438095386,0.6287668875816166,0.9049562877234747,1.0919187667272625
6,2.51071297021958,11.533981744240593,15.373178786503406,14.597373882002165,21.832425336843592,21.609640371074278
7,12.482579556802904,32.34071526561025,45.2508355966209,38.18416321789586,64.48474270650473,60.3326405069283
8,25.992798494835196,66.27941313117184,86.76600342396065,62.45140448844922,112.77857417114645,109.72555983210832
9,42.990227066668396,104.10677414401846,140.42263650272224,102.46082573008377,161.4092360117211,139.92187253120275
10,53.713025192615326,156.83823087347864,182.71782115090534,142.83471048931375,195.2651678487211,181.8427793664328
11,64.27065027565844,181.1394859603388,200.96473606395992,161.84748810669882,210.86128813011103,206.97457924217449
12,72.51916245144197,200.18590698030326,202.0790235368832,203.00555615821216,207.4944038585607,210.3417913207578
13,76.10843934319325,190.83594704594157,191.5323800943238,192.37016236641347,187.8038841990154,200.5972562255081
14,63.423190299824284,169.66658758160074,170.8358579201623,171.56148142210407,160.34324707426902,178.30063516623005
15,51.04945022294286,136.26808704387093,138.04741841848175,135.71046626376622,125.8100816916908,140.0333365836894
16,31.67530592500805,92.67161615983251,95.35555510687695,88.38596433102414,82.87394663362299,94.15802785771508
17,16.17592770712817,45.954316452565266,47.010491998527044,44.690511660282844,44.06444284433928,47.397311024208655
18,3.4468828336279627,8.096261877166176,8.634375888549911,8.366765462317964,10.074365162266862,10.595086330589993
19,0.0,0.0,-0.0,-0.0,0.0,0.0
20,0.0,-0.0,-0.0,-0.0,0.0,-0.0
21,0.0,-0.0,0.0,-0.0,-0.0,-0.0
22,0.0,-0.0,0.0,-0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,-0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,-0.0,0.0,0.0,-0.0
27,0.0,0.0,0.0,-0.0,0.0,0.0
28,0.0,0.0,-0.0,-0.0,0.0,-0.0
29,-0.0,1.3205303326362814,1.3263612127404931,1.3220011834723506,0.9013819116252156,1.3195701142836131
30,2.562656619017477,22.723090693602206,21.820882205189328,20.907667886689264,20.45400243035514,19.2180982651506
31,14.519714882712814,70.70759249844885,71.85715973138073,68.08862054323058,71.45489845264579,72.3973011658085
32,27.94018976604867,128.3759491425748,128.39545258477762,125.97458267474795,129.63923352367578,126.92722550872718
33,45.03294148137838,170.70872203377345,170.93576006489025,170.16129464584247,176.14884017853797,170.08417490475432
34,63.72120937323494,198.20952825135336,199.61039798366474,197.27293223160584,207.63895715542824,199.03455436711175
35,76.01610830394786,212.7109498016967,214.54934307233637,212.39310597386438,226.329928653461,213.92821673316652
36,82.2914736344829,214.93715633835743,217.08696108236117,214.99784138596723,226.524839433398,212.72396220443048
37,86.41267747261264,204.7602936575062,206.69933172472003,204.36921999112525,219.45847078498434,201.2517378912071
38,84.37023893232428,182.5734135477795,183.34704589412485,183.18244222324978,197.6144964452321,181.856126951104
39,76.16505954929644,148.6605386583955,149.86870735118669,150.27774880359235,162.07354129157204,149.56421128996678
40,62.28164340393693,101.93536603344576,103.91157241444529,103.31465682699869,112.2483715493963,103.96189655115307
41,41.62386739228477,47.54105844749327,48.624658966819055,48.56508519924912,54.35351307032381,50.51979348284244
42,11.69299829526483,6.445098106447529,6.727146706999724,6.458924784553021,9.821729738137508,9.851847739108155
43,-0.0,0.0,0.0,0.0,0.0,-0.0
44,0.0,-0.0,0.0,0.0,-0.0,0.0
45,0.0,-0.0,-0.0,0.0,0.0,0.0
46,-0.0,0.0,0.0,-0.0,-0.0,0.0
47,-0.0,0.0,-0.0,0.0,-0.0,0.0
48,0.0,0.0,-0.0,0.0,-0.0,-0.0
49,0.0,0.0,-0.0,0.0,0.0,0.0
50,-0.0,-0.0,0.0,0.0,0.0,-0.0
51,-0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,-0.0,0.0,0.0,0.0,0.0
53,0.0,1.326032587386374,1.3332716555226156,1.3309343180892843,0.9079710946385758,1.3021373811961516
54,6.5373968371066,21.665304233635247,20.78497121247056,20.668873224249726,19.18838326146284,18.290026989756107
55,36.322539432843286,72.61075244621163,73.03278810253109,69.94875776383769,73.43331054310423,73.18248362240153
56,71.09347850944982,124.65536696441569,126.73847371366197,122.24151388639444,135.4411971190436,127.77741906315717
57,104.5964950962745,167.76492768193833,171.29498944881817,167.35716734700026,182.00379587202673,170.75677925294374
58,138.41456143581928,196.83904863674715,199.82631055781442,197.87436448365244,212.24955205501848,199.41333633268735
59,172.82212870508317,212.1101827370753,214.3105918482596,213.4417513782093,228.23594864695872,214.90658943836456
60,197.49533615483196,214.88083361430913,216.8833836361259,216.18138831489256,231.67121540154992,217.89825098305235
61,191.05258897583516,205.40888550151092,207.85178138162976,206.7515700132753,222.84152154846961,209.20702011328842
62,170.92289937280944,183.87199232348752,186.33973693648883,184.90531741183275,200.878773113947,187.81896128155034
63,141.27198333038132,149.20594546642116,151.56077913034002,150.4023413572847,165.42552753855136,153.57737139339008
64,102.23676342519903,102.1200908821914,104.08283184126307,103.41066379166337,115.8115099057334,106.1063962389869
65,57.99682466460752,47.45214204162727,48.54756261589597,48.40670977196545,56.00625301112933,51.09849979440261
