,NPC,Disconunted energy,Disconunted grid capacity invesment,Disconunted tech capacity invesment,Disconunted invesment,Disconunted oym,Disconunted fuel,Disconunted salvage,lcoe
0,98541.758691586,108359.36528419358,55686.15675680134,38318.91691342191,94005.07367022325,12076.922840626086,0.0,7540.237819263338,0.9093977104160864
1,96833.6299227328,145324.7009677692,43388.26880703613,48987.31526521041,92375.58407224654,11867.580734120178,0.0,7409.534883633894,0.666326022196385
2,59961.97399936228,105331.63149378338,21030.722905476865,36170.70984816198,57201.432753638845,7348.7234546764585,0.0,4588.182208953019,0.5692684443314752
3,39507.9736302491,28079.269529193574,28338.433532885494,9350.664175393178,37689.09770827867,4841.954877376757,0.0,3023.078955406334,1.4070157198773736
4,130539.62275145139,259698.62247172312,51060.428507213386,73469.38521409516,124529.81372130854,15998.465752451879,0.0,9988.65672230901,0.5026581254417897
5,53956.7571814024,87757.64234610826,19848.001015542734,31624.684282463535,51472.68529800627,6612.745721838166,0.0,4128.673838442034,0.6148382720743772
6,30813.010845232206,41136.24748645424,15418.930485582816,13975.504858047463,29394.435343630277,3776.33157157178,0.0,2357.756069969851,0.7490476824697884
7,45190.796501271776,65333.190677799364,26732.05231300704,16378.241340406823,43110.293653413864,5538.421169855727,0.0,3457.918321997816,0.6916973751387271
8,281959.41500764474,355883.8226227724,60861.99459628659,208116.51696817053,268978.5115644571,34555.92983572506,0.0,21575.026392537304,0.7922793818771424
9,89201.86591559753,110431.12916765282,48055.69624659179,37039.47648278547,85095.17272937726,10932.25923919429,0.0,6825.566052974008,0.8077601541153696
10,28673.51303556434,32228.49566813748,19203.27077769343,8150.165380560206,27353.436158253637,3514.1224299030564,0.0,2194.0455525923476,0.8896944285212868
11,40168.51137517933,65226.3594445523,18212.92406002863,20106.301425535512,38319.22548556414,4922.908003084719,0.0,3073.6221134695274,0.6158324903803014
12,41484.56572115638,58184.47267972073,18251.72612232177,21322.964938347388,39574.69106066915,5084.198881200464,0.0,3174.32422071322,0.712983444045462
13,85317.51664565611,149712.34104663486,29448.36527465533,51941.28662649562,81389.65190115095,10456.207390292895,0.0,6528.3426457877395,0.5698763111257475
14,84000.27829452063,127904.62048874107,37137.551889808616,42995.50494054312,80133.05683035174,10294.77140477161,0.0,6427.549940602706,0.6567415467364983
15,89310.87195630922,156569.39503034868,32945.09019172342,52254.07013665411,85199.16032837753,10945.618626730267,0.0,6833.9069987985595,0.5704235616353861
16,24474.08880842092,31070.103255429236,15483.553193964555,7863.792662200278,23347.345856164833,2999.4561296496054,0.0,1872.713177393515,0.7877054223868496
17,63391.95090537988,99083.33728849042,26867.80028821983,33605.69941468568,60473.49970290551,7769.089064029451,0.0,4850.6378615550675,0.6397841719925953
18,85029.52805604931,64849.59091257685,60108.67456013529,21006.247227187476,81114.92178732276,10420.912546545002,0.0,6506.306277818443,1.3111806390679759
19,18172.70079564916,563.8167606272436,17153.233767178568,182.8286267209385,17336.062393899505,2227.180722456282,0.0,1390.5423207066299,32.231572497830875
20,22505.021854931056,4880.934744354638,19890.419916067494,1578.5112813561,21468.931197423593,2758.134379550231,0.0,1722.0437220427684,4.610801625848553
21,62702.23214938759,79645.01817332186,34208.526850953924,25607.00750477612,59815.534355730044,7684.559618762275,0.0,4797.861825104722,0.7872712391494001
22,26897.947044027143,5284.935704742842,23850.931226998357,1808.6827988210891,25659.614025819446,3296.5154604014506,0.0,2058.182442193753,5.089550478331876
23,52667.18909554962,34188.613146222095,39084.44174096291,11158.044862368442,50242.48660333135,6454.700904317491,0.0,4029.9984120992276,1.5404891935889902
24,1764.5447069171723,354.54886112768816,1568.9513528515308,114.35689504880482,1683.3082479003356,216.2562405748238,0.0,135.01978155798696,4.976873148893531
25,325177.31071979983,329316.80977739725,126562.70165063831,183644.03157574905,310206.73322638735,39852.55939440256,0.0,24881.98190099013,0.9874300402084074
26,18151.522797849182,495.87263748083893,17153.233767178568,162.62562578195337,17315.859392960523,2224.585223362849,0.0,1388.9218184741958,36.605211552029985
27,94570.94652024952,115759.90234318755,51646.70475619614,38570.36578060041,90217.07053679656,11590.274410107013,0.0,7236.398426654049,0.8169577254814866
28,27330.082155220847,12796.637363769569,22026.30399979867,4045.5504152997537,26071.854415098423,3349.4763823893127,0.0,2091.248642266886,2.1357237357213106
29,770400.1789463178,1240870.6241927377,124137.35484908032,610794.987936329,734932.3427854093,94417.46972122625,0.0,58949.63356031791,0.6208545547989825
30,465280.5121801268,483893.4620058449,187017.31702808946,256842.51869601826,443859.8357241077,57023.1028901473,0.0,35602.42643412824,0.9615350251921914
31,19398.20280000772,4175.794207056766,17153.233767178568,1351.9107268617877,18505.144494040356,2377.3738318972505,0.0,1484.3155259298935,4.645392430313321
32,51152.69277027757,40969.60585768208,35243.910080580135,13553.804879532738,48797.71496011288,6269.089692323931,0.0,3914.111882159239,1.2485522303526406
33,24117.922902177164,2914.265306882216,22026.30399979867,981.2731867196608,23007.57718651833,2955.8057196581417,0.0,1845.4600039993127,8.275815810324891
34,71950.23618202175,55404.37501860836,50946.61898169478,17691.157963709335,68637.77694540411,8817.961666938405,0.0,5505.502430320772,1.2986381699614193
35,36667.34218071452,20874.175396502815,28338.433532885494,6640.810279653328,34979.24381253882,4493.817323407832,0.0,2805.718955232131,1.7565887746089188
36,26088.652429576512,8809.571908258902,22026.30399979867,2861.2738774631534,24887.577877261825,3197.3312288246193,0.0,1996.256676509932,2.9613984313038655
37,18938.883306437194,2799.721406557792,17153.233767178568,913.7374751908337,18066.9712423694,2321.081289966798,0.0,1449.1692258990104,6.764559953028404
