,NPC,Disconunted energy,Disconunted grid capacity invesment,Disconunted tech capacity invesment,Disconunted invesment,Disconunted oym,Disconunted fuel,Disconunted salvage,lcoe
0,78846.9139537066,108359.36528419358,65686.15675680134,0.0,65686.15675680134,8438.764163220252,13252.35037425688,8530.357340571882,0.7276428183841348
1,98042542.06587626,145324.7009677692,98161646.05251795,0.0,98161646.05251795,12610921.719437143,17773.210928358178,12747798.91700717,674.6447191219104
2,33883.45606896082,105331.63149378338,21030.722905476865,0.0,21030.722905476865,2701.8373359616185,12882.058531689707,2731.1627041673773,0.3216835777480633
3,41719.06885090737,28079.269529193574,38338.433532885494,0.0,38338.433532885494,4925.375679523472,3434.094663420374,4978.835024921963,1.4857604756253617
4,82750.37106277139,259698.62247172312,51060.428507213386,0.0,51060.428507213386,6559.782692731929,31761.14152829174,6630.981665465668,0.31864000769500245
5,30553.084500878263,87757.64234610826,19848.001015542734,0.0,19848.001015542734,2549.89190951834,10732.75965892904,2577.568083111853,0.34815297772448855
6,20428.393302525677,41136.24748645424,15418.930485582816,0.0,15418.930485582816,1980.8849298135838,5030.963067593353,2002.3851804640715,0.49660322831470094
7,34685.02619621955,65333.190677799364,26732.05231300704,0.0,26732.05231300704,3434.29264561098,7990.249219894864,3471.567982293314,0.5308944173149919
8,104301.71976682088,355883.8226227724,60861.99459628659,0.0,60861.99459628659,7818.999379166266,43524.59150676508,7903.865715397067,0.2930780022484416
9,71480.47012708869,110431.12916765282,58055.69624659179,0.0,58055.69624659179,7458.471512809457,13505.727097203942,7539.424729516506,0.647285513295526
10,23118.038640086543,32228.49566813748,19203.27077769343,0.0,19203.27077769343,2467.0627915620084,3941.5450202132133,2493.839949382108,0.7173167149387634
11,26164.711607776746,65226.3594445523,18212.92406002863,0.0,18212.92406002863,2339.8319897792994,7977.183760068749,2365.228202099931,0.40113708369725704
12,25342.23681289882,58184.47267972073,18251.72612232177,0.0,18251.72612232177,2344.81692829459,7115.961008729847,2370.267246447389,0.43554982361697075
13,47717.121604626256,149712.34104663486,29448.36527465533,0.0,29448.36527465533,3783.260002031552,18309.81931000344,3824.322982064066,0.31872537207712587
14,52728.502146865874,127904.62048874107,37137.551889808616,0.0,37137.551889808616,4771.097252009642,15642.735085773029,4822.882080725419,0.4122486110774032
15,52047.58836936497,156569.39503034868,32945.09019172342,0.0,32945.09019172342,4232.487638046931,19148.43701221165,4278.426472617027,0.33242504615462243
16,19261.83646115461,31070.103255429236,15483.553193964555,0.0,15483.553193964555,1989.1870717343106,3799.873628138996,2010.7774326832534,0.619947616614012
17,38948.22781411583,99083.33728849042,26867.80028821983,0.0,26867.80028821983,3451.732319432919,12117.892150382379,3489.1969439193003,0.3930855467727577
18,77942.01956561074,64849.59091257685,70108.67456013529,0.0,70108.67456013529,9006.929307790284,7931.104968608149,9104.689270922996,1.2018891479313056
19,27184.325922334065,563.8167606272436,27153.233767178568,0.0,27153.233767178568,3488.402234863325,68.9547898247119,3526.264869532539,48.21482407172788
20,30445.678851583154,4880.934744354638,29890.419916067494,0.0,29890.419916067494,3840.051189860453,596.9383192345724,3881.7305735793616,6.23767381581921
21,53887.46793425062,79645.01817332186,44208.526850953924,0.0,44208.526850953924,5679.51225217575,9740.585722597263,5741.156891476321,0.6765955884017982
22,34450.07691885744,5284.935704742842,33850.93122699836,0.0,33850.93122699836,4348.861912985173,646.3476366900496,4396.063857816133,6.518542295214874
23,53197.26548400304,34188.613146222095,49084.44174096291,0.0,49084.44174096291,6305.925759500631,4181.267387782963,6374.369404243484,1.5559936653903563
24,1610.124923237966,354.54886112768816,1568.9513528515308,0.0,1568.9513528515308,201.56469953478472,43.36132571591626,203.75245486426562,4.541334354076775
25,33889187.22429519,329316.80977739725,33896176.814012684,0.0,33896176.814012684,4354674.657360734,40275.44583577569,4401939.692914008,102.90755351116967
26,27176.016356073258,495.87263748083893,27153.233767178568,0.0,27153.233767178568,3488.402234863325,60.64522356390661,3526.264869532539,54.80442819780184
27,75718.18027190724,115759.90234318755,61646.70475619614,0.0,61646.70475619614,7919.811853253874,14157.43605657184,8005.772394114613,0.6540967877411418
28,33546.6750758838,12796.637363769569,32026.30399979867,0.0,32026.30399979867,4114.45028629894,1565.028749589018,4159.107959802835,2.6215226799239226
29,275722.7343036092,1240870.6241927377,124137.35484908032,0.0,124137.35484908032,15948.046181114203,151758.47733877183,16121.144065357172,0.22220103282965836
30,36193094.4171012,483893.4620058449,36184369.95271074,0.0,36184369.95271074,4648641.045573459,59180.17040331483,4699096.751586316,74.79558468732529
31,27626.070764032396,4175.794207056766,27153.233767178568,0.0,27153.233767178568,3488.402234863325,510.6996315230425,3526.264869532539,6.615764425686136
32,50191.40449298782,40969.60585768208,45243.910080580135,0.0,45243.910080580135,5812.528938259524,5010.582796394518,5875.617322246348,1.2250887808718471
33,32338.060973326465,2914.265306882216,32026.30399979867,0.0,32026.30399979867,4114.45028629894,356.41464703169515,4159.107959802835,11.09647117472735
34,67637.58970948099,55404.37501860836,60946.61898169478,0.0,60946.61898169478,7829.871155902441,6775.955064775803,7914.855492892055,1.2207987128591185
35,40837.88583847929,20874.175396502815,38338.433532885494,0.0,38338.433532885494,4925.375679523472,2552.9116509922937,4978.835024921963,1.9563831894083408
36,33059.05697067484,8809.571908258902,32026.30399979867,0.0,32026.30399979867,4114.45028629894,1077.4106443800633,4159.107959802835,3.752629221367981
37,27457.777060531378,2799.721406557792,27153.233767178568,0.0,27153.233767178568,3488.402234863325,342.4059280220181,3526.264869532539,9.807324756033577
