,Base_To_Peak_Ratio
457,1e-06
458,1e-06
459,1e-06
460,1e-06
461,1e-06
462,1e-06
463,1e-06
464,1e-06
465,1e-06
466,1e-06
467,1e-06
468,1e-06
469,1e-06
470,1e-06
471,1e-06
472,1e-06
473,1e-06
474,1e-06
475,1e-06
476,1e-06
477,1e-06
478,1e-06
479,1e-06
480,1e-06
481,1e-06
482,1e-06
483,1e-06
484,1e-06
485,1e-06
486,1e-06
487,1e-06
488,1e-06
489,1e-06
490,1e-06
491,1e-06
492,1e-06
493,1e-06
494,1e-06
495,1e-06
496,1e-06
497,1e-06
498,1e-06
499,1e-06
500,1e-06
501,1e-06
502,1e-06
503,1e-06
504,1e-06
505,1e-06
506,1e-06
507,1e-06
508,1e-06
509,1e-06
510,1e-06
511,1e-06
512,1e-06
513,1e-06
514,1e-06
515,1e-06
516,1e-06
517,1e-06
518,0.53
519,1e-06
520,1e-06
521,1e-06
522,1e-06
523,1e-06
524,1e-06
525,1e-06
526,1e-06
527,1e-06
528,1e-06
529,1e-06
530,1e-06
531,1e-06
532,1e-06
533,1e-06
534,1e-06
535,0.49
536,1e-06
537,1e-06
538,1e-06
539,1e-06
540,0.57
541,1e-06
542,1e-06
543,1e-06
544,1e-06
545,1e-06
546,1e-06
547,1e-06
548,1e-06
549,1e-06
550,1e-06
551,1e-06
552,1e-06
553,1e-06
554,1e-06
555,1e-06
556,1e-06
557,1e-06
558,1e-06
559,1e-06
560,1e-06
561,1e-06
562,1e-06
563,0.5
564,1e-06
565,1e-06
566,1e-06
567,1e-06
568,1e-06
569,0.53
570,1e-06
571,1e-06
572,1e-06
573,1e-06
574,1e-06
575,1e-06
576,1e-06
577,0.49
578,1e-06
579,1e-06
580,1e-06
581,1e-06
582,1e-06
583,1e-06
584,1e-06
585,1e-06
586,1e-06
587,1e-06
588,1e-06
589,1e-06
590,1e-06
591,1e-06
592,1e-06
593,1e-06
594,1e-06
595,1e-06
596,1e-06
597,1e-06
598,1e-06
599,1e-06
600,1e-06
601,1e-06
602,1e-06
603,1e-06
604,1e-06
605,1e-06
606,1e-06
607,1e-06
608,0.49
609,1e-06
610,1e-06
611,1e-06
612,1e-06
613,1e-06
614,1e-06
615,1e-06
616,1e-06
617,1e-06
618,1e-06
619,1e-06
620,1e-06
621,1e-06
622,1e-06
623,1e-06
624,1e-06
625,1e-06
626,1e-06
627,1e-06
628,1e-06
629,1e-06
630,1e-06
631,1e-06
632,1e-06
633,1e-06
634,1e-06
635,1e-06
636,1e-06
637,1e-06
638,1e-06
639,1e-06
640,1e-06
641,1e-06
642,1e-06
643,1e-06
644,1e-06
645,1e-06
646,1e-06
647,1e-06
648,1e-06
649,1e-06
650,1e-06
651,1e-06
652,1e-06
653,1e-06
654,1e-06
655,1e-06
656,1e-06
657,1e-06
658,1e-06
659,1e-06
660,1e-06
661,1e-06
662,1e-06
663,1e-06
664,1e-06
665,1e-06
666,1e-06
667,1e-06
668,1e-06
669,1e-06
670,1e-06
671,1e-06
672,1e-06
673,1e-06
674,1e-06
675,1e-06
676,1e-06
677,1e-06
678,1e-06
679,1e-06
680,1e-06
681,1e-06
682,1e-06
683,1e-06
684,1e-06
685,1e-06
686,1e-06
687,1e-06
688,1e-06
689,1e-06
690,1e-06
691,0.48
692,1e-06
693,1e-06
694,1e-06
695,1e-06
696,1e-06
697,1e-06
698,1e-06
699,1e-06
700,1e-06
701,1e-06
702,1e-06
703,1e-06
704,1e-06
705,0.51
706,1e-06
707,1e-06
708,1e-06
709,1e-06
710,1e-06
711,1e-06
712,1e-06
713,1e-06
714,1e-06
715,1e-06
716,1e-06
717,1e-06
718,1e-06
719,1e-06
720,1e-06
721,1e-06
722,0.5
723,1e-06
724,1e-06
725,1e-06
726,1e-06
727,1e-06
728,1e-06
729,1e-06
730,1e-06
731,1e-06
732,1e-06
733,1e-06
734,0.48
735,1e-06
736,1e-06
737,1e-06
738,1e-06
739,1e-06
740,1e-06
741,1e-06
742,1e-06
743,1e-06
744,1e-06
745,1e-06
746,1e-06
747,0.53
748,1e-06
749,1e-06
750,1e-06
751,1e-06
752,1e-06
753,1e-06
754,1e-06
755,1e-06
756,1e-06
757,1e-06
758,1e-06
759,1e-06
760,1e-06
761,1e-06
762,1e-06
763,1e-06
764,1e-06
765,1e-06
766,1e-06
767,1e-06
768,1e-06
769,1e-06
770,1e-06
771,1e-06
772,1e-06
773,1e-06
774,1e-06
775,1e-06
776,1e-06
777,1e-06
778,1e-06
