,NPC,Disconunted energy,Disconunted grid capacity invesment,Disconunted tech capacity invesment,Disconunted invesment,Disconunted oym,Disconunted fuel,Disconunted salvage,lcoe
0,133677.92503315952,108359.36528419358,55686.15675680134,8142.9358891712545,63829.092645972596,8200.185338685182,66768.44026335327,5119.7932148515165,1.233653636513679
1,144516.6286071908,145324.7009677692,43388.26880703613,10920.788618407925,54309.05742544406,6977.137195542407,87586.61597447064,4356.1819882663485,0.9944395388038155
2,93826.02551979461,105331.63149378338,21030.722905476865,7915.409250563448,28946.132156040312,3718.7376269648767,63482.95297477727,2321.797237987861,0.8907677987056735
3,49068.33478230095,28079.269529193574,28338.433532885494,2110.087033006422,30448.520565891915,3911.7509207587836,17150.368560118968,2442.305264468716,1.7474932790286934
4,230501.45712494367,259698.62247172312,51060.428507213386,19515.70339810586,70576.13190531924,9066.984005570484,156519.32096921766,5660.9797551637,0.8875728909576386
5,81319.86073127246,87757.64234610826,19848.001015542734,6594.76782219044,26442.768837733172,3397.1281174259743,53600.9638227254,2121.0000466120605,0.9266413563226121
6,44085.268416949424,41136.24748645424,15418.930485582816,3091.2863426687218,18510.216828251538,2378.025479584962,24681.748491872542,1484.7223827596138,1.0716891090142888
7,72544.75870437073,65333.190677799364,26732.05231300704,4909.626239772049,31641.67855277909,4065.037082683016,39376.052688746975,2538.0096198383403,1.110381384281939
8,303777.0693481874,355883.8226227724,60861.99459628659,25229.98222479102,86091.97682107761,11060.319626072098,213530.29357366354,6905.520672625737,0.8535849342895904
9,126225.82407857013,110431.12916765282,48055.69624659179,8298.62377490465,56354.32002149644,7239.894061708956,67151.84447329967,4520.234477934933,1.1430275596198816
10,42092.777572500694,32228.49566813748,19203.27077769343,2421.891022910581,21625.16180060401,2778.205476420739,19423.985425203784,1734.5751297278462,1.3060732963132213
11,64069.24580836278,65226.3594445523,18212.92406002863,4901.598139191999,23114.522199220628,2969.545048996113,39839.21672698144,1854.0381668353775,0.9822600303612965
12,60665.91828208566,58184.47267972073,18251.72612232177,4372.417921917402,22624.14404423917,2906.5456925867416,36949.933006311294,1814.7044610515482,1.0426479005150422
13,132894.03093076867,149712.34104663486,29448.36527465533,11250.508820932704,40698.874095588035,5228.623764256076,90231.02909944262,3264.496028518043,0.8876624999763557
14,126092.987690494,127904.62048874107,37137.551889808616,9611.713042403037,46749.26493221165,6005.9233337013375,77087.60315008229,3749.8037255012605,0.985836064472694
15,141654.4963105067,156569.39503034868,32945.09019172342,11765.799315958458,44710.88950768188,5744.051269129229,94785.85919621284,3586.303662517268,0.9047393731262043
16,37404.13659142172,31070.103255429236,15483.553193964555,2334.8407238760083,17818.393917840564,2289.146320384247,18725.826951634186,1429.2305984372742,1.2038626419719305
17,95953.90312286699,99083.33728849042,26867.80028821983,7445.865533719595,34313.66582193942,4408.309874468573,59984.25972775378,2752.332301294786,0.9684161408843972
18,107901.91599691825,64849.59091257685,60108.67456013529,4873.284924243877,64981.959484379164,8348.295257749716,39783.92703304766,5212.265778258286,1.6638796710742532
19,18377.433536293553,563.8167606272436,17153.233767178568,42.369422550480444,17195.60318972905,2209.135792488213,351.9705062562055,1379.275952179915,32.594691785765185
20,24189.701817931633,4880.934744354638,19890.419916067494,366.7900656142541,20257.20998168175,2602.463381640048,2954.878846754343,1624.850392144507,4.955956816654803
21,92067.63748411345,79645.01817332186,34208.526850953924,5985.124360744501,40193.65121169842,5163.717291149549,49934.24059394586,3223.9716126803855,1.155974844324321
22,28760.23304915657,5284.935704742842,23850.931226998357,397.1497295987814,24248.08095659714,3115.1744401944775,3341.9396627655456,1944.962010400589,5.441926762391144
23,66665.66040792552,34188.613146222095,39084.44174096291,2569.188959894855,41653.630700857764,5351.282269837067,23001.825415873056,3341.0779786423655,1.9499375456618133
24,1893.93031381729,354.54886112768816,1568.9513528515308,26.64346213333334,1595.5948149848641,204.9876109142301,221.33209024301507,127.9842023248189,5.341803405582524
25,359643.7817618977,329316.80977739725,126562.70165063831,23795.515808854354,150358.21745949268,19316.665790641877,202029.27646223764,12060.37795047446,1.0920905677575343
26,18324.318736952395,495.87263748083893,17153.233767178568,37.263591251302145,17190.49735842987,2208.4798413971716,304.2079456417451,1378.8664085163903,36.95367994097167
27,142076.66193389564,115759.90234318755,51646.70475619614,8699.067781036574,60345.77253723271,7752.679831375758,78818.60230742952,4840.392742142344,1.2273391654451133
28,31913.318713422785,12796.637363769569,22026.30399979867,961.6353637441343,22987.939363542806,2953.282829524941,7815.981355592632,1843.8848352375978,2.4938831824505123
29,970431.0541581829,1240870.6241927377,124137.35484908032,81796.7814056043,205934.13625468462,26456.557893072473,754558.5361241135,16518.17611368736,0.7820565941671056
30,522978.1337092791,483893.4620058449,187017.31702808946,33669.80195232846,220687.1189804179,28351.88786933319,291640.6539770746,17701.527117546517,1.0807712332822594
31,20883.017557685227,4175.794207056766,17153.233767178568,313.8005139219472,17467.034281100514,2244.0068076266066,2573.02417132741,1401.0477023693024,5.000969042582261
32,65195.705766330124,40969.60585768208,35243.910080580135,3078.763640122432,38322.673720702565,4923.351001191921,25023.57974417849,3073.8986997428565,1.591318842382895
33,25083.13506668666,2914.265306882216,22026.30399979867,218.9997652324702,22245.30376503114,2857.8757150814117,1764.2729026640386,1784.3173160899303,8.607018382112054
34,91460.46956297048,55404.37501860836,50946.61898169478,4163.500520447762,55110.119502142545,7080.050416213642,33690.73559631553,4420.435951701226,1.650780638392765
