,2012,2013,2014,2015
0,0.0,0.0,0.0,0.0
1,0.0,0.0,-0.0,0.0
2,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,0.0
4,0.0,-0.0,-0.0,-0.0
5,0.0,0.0,0.0,0.0
6,2.51071297021958,4.476460691945345,2.755695834917959,4.724995893302066
7,12.482579556802904,28.115756446402706,15.797480424001037,28.388304201389992
8,25.992798494835196,63.55098086178839,31.84434443808468,56.40474617042899
9,42.990227066668396,107.46822547213678,40.14180562929549,81.96718589698216
10,53.713025192615326,143.83372001396603,52.41312121619613,91.73582424029956
11,64.27065027565844,162.3374697972336,64.97685792831344,100.44477936058263
12,72.51916245144197,171.34557601139966,68.58067324422692,103.25528383506332
13,76.10843934319325,165.09292009070157,61.20782448783527,109.90571674331093
14,63.423190299824284,148.23339432801535,50.84232332123873,109.33019847383405
15,51.04945022294286,115.38380951402401,44.65259994008601,98.07246078212424
16,31.67530592500805,80.16016401214017,33.066550997464105,74.97980584428579
17,16.17592770712817,33.16900280352895,18.814439638488214,37.12449857385506
18,3.4468828336279627,5.901805754714899,4.941685393301218,7.129579142894039
19,0.0,0.0,-0.0,0.0
20,0.0,0.0,-0.0,0.0
21,0.0,-0.0,0.0,0.0
22,0.0,0.0,0.0,-0.0
23,0.0,0.0,0.0,-0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,-0.0,-0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,-0.0,0.0,0.0,-0.0
30,2.562656619017477,2.7633546949901877,4.72483812856751,1.804458487066052
31,14.519714882712814,15.066060201160099,28.35900067317045,15.088944244328816
32,27.94018976604867,28.599297220529177,61.76433994746674,40.37755841018961
33,45.03294148137838,45.32415915438693,97.6149109492485,64.08188107577179
34,63.72120937323494,65.72188648135605,129.15041277940193,84.52513194146708
35,76.01610830394786,87.16398351223015,149.2537844650008,104.18046675640319
36,82.2914736344829,88.4453661287538,156.79495021726655,113.08640550446559
37,86.41267747261264,84.11237020266809,147.24712479919185,117.00676143439013
38,84.37023893232428,74.29805923930235,139.8557712049418,112.03596032246305
39,76.16505954929644,72.13201425251945,113.31956898605245,90.89488401911781
40,62.28164340393693,53.45553534641873,71.97385212952528,63.35093139662017
41,41.62386739228477,29.77067032937712,33.41611266358941,35.49262529790193
42,11.69299829526483,6.9279945050685345,6.642248489003264,8.403566704905343
43,-0.0,-0.0,-0.0,-0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,-0.0,0.0,-0.0,0.0
47,-0.0,-0.0,0.0,-0.0
48,0.0,0.0,0.0,0.0
49,0.0,-0.0,0.0,0.0
50,-0.0,0.0,-0.0,0.0
51,-0.0,0.0,0.0,0.0
52,0.0,-0.0,0.0,0.0
