NPC,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,Generator Nominal capacity,HouseHolds,Renewable Energy Unit Total,Max Demand
496983.29,1265,672,0.03,3184.33,1636,0.19,8.01,0.4,35,450,446.97,46.24
313522.36,1385,527,0.25,5193.07,1592,0.24,10.06,0.3,35,450,467.59,46.24
653589.63,1786,358,0.09,5270.63,1169,0.22,7.06,1.1,35,450,474.05,46.24
234641.61,1998,564,0.34,3729.59,1232,0.31,7.8,0.2,35,450,460.94,46.24
406970.62,1527,317,0.48,1040.73,1101,0.31,9.7,0.6,35,450,434.33,46.24
433250.7,1664,711,0.41,6928.92,1386,0.38,9.23,0.7,35,450,467.25,46.24
598342.99,1029,344,0.44,1198.1,1946,0.3,10.17,1.1,35,450,474.93,46.24
847791.51,1109,498,0.37,3268.43,1366,0.13,9.15,0.7,35,450,435.92,46.24
336905.99,1061,752,0.04,2868.0,1377,0.27,8.08,0.3,35,450,430.02,46.24
506898.91,1371,771,0.15,6968.75,1403,0.2,9.31,0.5,35,450,420.86,46.24
430971.89,1932,490,0.07,3560.48,1565,0.22,10.75,0.5,35,450,536.88,46.24
452830.94,1924,420,0.06,1509.66,1845,0.18,10.77,0.4,35,450,452.25,46.24
909038.64,1510,515,0.4,6638.25,1100,0.17,7.33,0.9,35,450,459.79,46.24
449619.95,1762,373,0.06,6696.01,1391,0.21,9.96,0.5,35,450,465.5,46.24
378254.48,1152,796,0.43,2611.65,1250,0.35,7.52,0.4,35,450,466.51,46.24
566908.5,1297,742,0.18,2202.11,1971,0.29,8.35,0.7,35,450,444.52,46.24
713752.85,1230,600,0.13,4973.31,1824,0.15,8.91,0.6,35,450,421.96,46.24
223064.81,1236,296,0.22,5575.26,1876,0.35,7.65,0.2,35,450,474.08,46.24
385270.56,1977,268,0.49,3364.86,1182,0.34,9.61,0.6,35,450,456.93,46.24
354659.16,1742,675,0.14,3955.94,1894,0.25,8.94,0.3,35,450,449.21,46.24
1152688.41,1751,699,0.28,1252.35,1803,0.17,7.1,0.9,35,450,414.88,46.24
557734.14,1679,233,0.27,1692.25,1711,0.21,7.15,0.6,35,450,471.06,46.24
452328.59,1147,699,0.1,6534.29,1316,0.26,9.18,0.5,38,500,446.57,51.18
853485.37,1160,619,0.43,4531.95,1007,0.15,10.33,0.8,38,500,449.22,51.18
456389.41,1613,305,0.31,2142.99,1609,0.14,10.48,0.3,38,500,458.96,51.18
396874.35,1345,739,0.22,6467.0,1266,0.4,10.81,0.7,38,500,488.16,51.18
789356.12,1044,293,0.43,1073.69,1830,0.18,10.11,1.0,38,500,454.84,51.18
516559.68,1918,721,0.39,2550.73,1545,0.35,9.16,0.6,38,500,418.95,51.18
809593.27,1437,588,0.3,6654.81,1170,0.22,8.58,0.9,38,500,461.66,51.18
613277.49,1954,564,0.17,3823.4,1842,0.11,9.85,0.3,38,500,433.17,51.18
193446.37,1423,428,0.34,5937.59,1053,0.39,8.53,0.2,38,500,476.19,51.18
658457.49,1566,245,0.19,4441.71,1806,0.13,7.76,1.1,38,500,481.18,51.18
740914.32,1767,650,0.18,6731.12,1974,0.24,7.5,0.7,38,500,473.73,51.18
821967.78,1774,448,0.14,6291.56,1351,0.16,10.53,1.1,38,500,467.14,51.18
646691.88,1440,672,0.18,5045.64,1551,0.3,7.99,0.8,38,500,449.3,51.18
1187855.03,1843,606,0.28,6190.98,1417,0.1,7.78,0.9,38,500,418.78,51.18
721329.06,1054,416,0.05,2095.91,1459,0.24,7.44,0.9,38,500,416.03,51.18
304472.42,1338,579,0.22,4733.17,1113,0.25,10.92,0.3,38,500,458.11,51.18
618420.65,1602,321,0.12,1686.82,1582,0.29,7.55,0.7,38,500,435.88,51.18
416844.41,1556,281,0.37,1915.97,1924,0.29,10.67,0.5,38,500,419.68,51.18
401830.67,1702,734,0.01,1518.89,1366,0.32,9.07,0.4,38,500,465.41,51.18
909748.51,1381,712,0.2,2704.56,1967,0.21,10.31,1.1,38,500,415.94,51.18
516087.62,1649,394,0.38,3612.31,1015,0.3,10.63,0.8,38,500,423.54,51.18
625399.39,1751,635,0.04,3014.79,1669,0.23,8.63,0.6,38,500,458.35,51.18
303957.94,1301,553,0.03,1444.4,1030,0.29,9.77,0.3,38,500,452.39,51.18
573717.62,1889,593,0.15,4176.58,1305,0.28,7.83,0.6,38,500,458.48,51.18
724760.4,1939,358,0.44,6395.38,1739,0.31,9.51,1.1,38,500,435.46,51.18
308850.71,1925,375,0.16,4411.58,1518,0.38,9.38,0.4,38,500,462.34,51.18
652607.23,1098,768,0.15,2262.11,1156,0.37,7.85,1.0,38,500,427.82,51.18
693123.97,1548,508,0.37,5146.93,1183,0.13,10.15,0.5,38,500,442.56,51.18
963335.0,1180,524,0.32,4612.48,1252,0.11,9.81,0.8,38,500,415.98,51.18
574820.84,1375,726,0.29,1646.45,1793,0.37,9.89,0.9,38,500,483.73,51.18
1056106.24,1697,798,0.46,2902.32,1721,0.26,7.06,1.1,38,500,491.3,51.18
264634.16,1033,229,0.45,4036.6,1429,0.25,8.4,0.2,38,500,411.54,51.18
362882.27,1246,676,0.34,5586.97,1720,0.38,10.74,0.5,38,500,463.93,51.18
431852.05,1225,423,0.48,5763.95,1500,0.21,10.23,0.4,38,500,420.17,51.18
833161.74,1824,631,0.04,2654.45,1871,0.23,7.89,0.8,38,500,432.86,51.18
403153.65,1395,705,0.26,5541.95,1522,0.36,9.12,0.5,38,500,452.11,51.18
965928.6,1535,757,0.05,5806.65,1103,0.1,8.03,0.5,38,500,470.26,51.18
616728.95,1792,226,0.23,2496.03,1999,0.22,8.32,0.6,38,500,465.74,51.18
571085.28,1489,244,0.24,5082.34,1562,0.14,8.85,0.7,38,500,510.83,51.18
374366.9,1174,680,0.1,3337.8,1611,0.27,10.72,0.4,38,500,478.71,51.18
735796.13,1067,657,0.01,6426.3,1673,0.15,9.43,0.6,38,500,426.47,51.18
534956.53,1000,538,0.36,2430.43,1039,0.14,10.06,0.4,38,500,475.7,51.18
225642.73,1215,299,0.5,3479.06,1765,0.33,9.74,0.2,38,500,457.43,51.18
713907.96,1131,384,0.42,3952.36,1123,0.25,9.47,1.0,38,500,427.83,51.18
720409.82,1458,583,0.02,6901.0,1094,0.31,9.29,1.2,38,500,456.56,51.18
964801.97,1628,406,0.41,3053.73,1220,0.14,7.35,0.7,38,500,460.37,51.18
590047.55,1873,779,0.07,4285.3,1245,0.35,7.13,0.7,38,500,469.44,51.18
923750.46,1415,571,0.29,1766.57,1206,0.17,10.88,1.0,38,500,417.29,51.18
543251.93,1725,279,0.12,3253.36,1405,0.36,10.4,1.0,38,500,414.6,51.18
982877.93,1027,762,0.07,5019.3,1080,0.16,8.22,1.2,38,500,424.07,51.18
508033.97,1327,622,0.24,5423.53,1654,0.12,7.03,0.2,38,500,467.32,51.18
758506.58,1575,316,0.4,6823.53,1699,0.16,10.56,0.9,38,500,484.31,51.18
511531.28,1631,513,0.41,4103.89,1578,0.31,8.75,0.6,38,500,437.64,51.18
461880.51,1818,692,0.21,6948.71,1937,0.21,8.2,0.3,38,500,473.61,51.18
293123.96,1671,364,0.19,3916.93,1394,0.38,7.37,0.3,38,500,449.34,51.18
508932.4,1473,400,0.02,1233.92,1903,0.11,7.95,0.2,38,500,479.81,51.18
555899.43,1202,262,0.27,3559.49,1130,0.25,8.33,1.0,38,500,466.02,51.18
872531.6,1855,434,0.28,6011.54,1322,0.15,10.2,0.8,38,500,457.86,51.18
473116.62,1368,561,0.45,6245.53,1082,0.32,9.93,0.7,38,500,459.62,51.18
740431.74,1315,644,0.23,2025.22,1853,0.34,7.72,1.0,38,500,422.78,51.18
782458.35,1892,337,0.39,6634.28,1297,0.22,7.26,0.7,38,500,423.87,51.18
349316.38,1868,493,0.21,5312.03,1381,0.3,7.66,0.3,38,500,448.9,51.18
932994.81,1529,613,0.06,5654.66,1985,0.18,10.92,1.1,38,500,424.18,51.18
373545.69,1231,689,0.13,1142.39,1892,0.2,9.61,0.2,38,500,478.36,51.18
573442.79,1515,268,0.0,1834.8,1477,0.28,10.01,1.1,38,500,466.9,51.18
569926.13,1651,236,0.09,1841.89,1281,0.38,7.62,1.0,38,500,452.68,51.18
449636.91,1279,349,0.3,5877.96,1194,0.2,8.82,0.4,38,500,465.03,51.18
930769.09,1462,542,0.33,3445.01,1811,0.16,10.51,0.9,38,500,423.86,51.18
611361.53,1984,502,0.35,3793.12,1432,0.24,8.79,0.6,38,500,413.38,51.18
292576.03,1786,745,0.36,3346.3,1537,0.36,10.44,0.3,38,500,428.99,51.18
406879.54,1745,792,0.38,4905.54,1959,0.33,9.33,0.4,38,500,430.78,51.18
560981.01,1731,772,0.42,2792.29,1839,0.19,9.6,0.4,38,500,476.61,51.18
645976.25,1583,786,0.13,2615.77,1440,0.39,7.41,0.9,38,500,440.75,51.18
1052905.35,1840,372,0.46,2362.59,1461,0.17,8.72,1.1,38,500,458.19,51.18
505716.66,1162,469,0.16,5452.48,1372,0.27,7.11,0.5,38,500,448.99,51.18
724185.93,1115,518,0.2,4219.61,1787,0.34,7.23,1.0,38,500,418.39,51.18
819726.73,1904,550,0.08,1336.45,1914,0.26,8.06,0.9,38,500,469.64,51.18
405917.05,1121,407,0.14,5356.81,1063,0.2,7.56,0.3,38,500,431.4,51.18
642088.04,1281,666,0.4,2019.16,1622,0.4,8.89,1.1,38,500,467.77,51.18
390575.08,1073,602,0.11,6109.6,1686,0.39,8.28,0.5,38,500,420.88,51.18
624589.73,1991,483,0.32,4571.08,1230,0.32,8.14,0.8,38,500,420.58,51.18
724970.57,1975,455,0.49,4334.24,1330,0.28,8.38,0.9,38,500,469.09,51.18
398205.19,1016,289,0.35,4879.38,1145,0.33,8.97,0.6,38,500,466.34,51.18
962184.96,1944,353,0.26,1050.65,1600,0.12,9.67,0.7,38,500,473.07,51.18
420016.39,1357,313,0.31,2214.18,1347,0.28,7.31,0.4,38,500,461.95,51.18
906073.45,1966,532,0.11,5240.39,1642,0.18,9.27,0.9,38,500,464.58,51.18
410592.0,1494,269,0.03,3652.24,1888,0.34,8.47,0.5,38,500,473.58,51.18
277215.12,1662,440,0.17,3214.72,1746,0.35,9.99,0.3,38,500,420.93,51.18
472506.67,1089,480,0.49,1386.1,1172,0.23,8.64,0.4,38,500,412.6,51.18
745466.08,1599,256,0.48,2957.88,1777,0.32,8.92,1.2,38,500,443.06,51.18
657835.24,1720,751,0.27,1284.46,1508,0.35,10.26,1.0,38,500,417.18,51.18
331204.95,1509,717,0.47,3726.37,1240,0.27,7.19,0.2,38,500,447.55,51.18
1020025.23,1690,464,0.25,3116.14,1048,0.12,9.52,1.1,38,500,437.68,51.18
736748.59,1401,497,0.09,4828.2,1489,0.17,10.99,0.8,38,500,463.76,51.18
372730.29,1292,642,0.06,6797.53,1632,0.37,9.69,0.5,38,500,455.16,51.18
673334.1,1198,381,0.44,2817.3,1750,0.2,8.09,0.6,38,500,462.07,51.18
724051.36,1108,330,0.33,1584.06,1866,0.22,8.48,0.8,38,500,470.09,51.18
832133.18,1804,444,0.47,5710.5,1709,0.12,10.77,0.6,38,500,469.94,51.18
726982.97,1253,471,0.25,4681.93,1947,0.19,9.03,0.7,38,500,464.6,51.18
577679.14,1260,338,0.08,6056.27,1280,0.19,9.23,0.8,38,500,473.29,51.18
846541.81,1033,423,0.32,6776.04,1462,0.11,8.12,0.7,42,550,459.85,55.86
590040.28,1315,583,0.26,5700.47,1782,0.32,9.63,0.8,42,550,476.34,55.86
690819.41,1583,244,0.4,6335.07,1795,0.36,8.19,1.0,42,550,467.27,55.86
423521.28,1613,236,0.49,5362.45,1830,0.16,8.3,0.2,42,550,469.98,55.86
678946.57,1160,704,0.11,5036.35,1214,0.26,8.99,0.8,42,550,466.51,55.86
509034.91,1721,752,0.18,6441.53,1491,0.26,10.24,0.5,42,550,459.25,55.86
501178.24,1302,511,0.2,1259.46,1732,0.31,8.73,0.5,42,550,473.65,55.86
622022.25,1267,691,0.29,6837.42,1335,0.33,8.35,0.8,42,550,475.4,55.86
421380.78,1632,298,0.19,2675.64,1920,0.29,9.58,0.4,42,550,468.76,55.86
1376422.86,1895,650,0.35,4590.89,1806,0.12,10.59,1.0,42,550,465.8,55.86
629010.51,1016,556,0.5,3147.84,1505,0.22,8.04,0.5,42,550,449.76,55.86
656159.47,1465,713,0.37,4534.47,1871,0.25,7.32,0.5,42,550,458.49,55.86
1024187.0,1786,603,0.07,6958.54,1518,0.15,10.15,1.1,42,550,460.63,55.86
238766.73,1622,677,0.3,5679.54,1013,0.3,10.35,0.2,42,550,431.06,55.86
860868.34,1195,637,0.01,6903.83,1620,0.15,10.99,0.9,42,550,501.54,55.86
783108.99,1523,408,0.13,4804.69,1592,0.2,10.21,0.8,42,550,432.11,55.86
701367.49,1120,311,0.48,1941.12,1958,0.4,8.21,1.1,42,550,413.92,55.86
545232.01,1596,329,0.04,2692.43,1479,0.3,8.43,0.6,42,550,436.34,55.86
627374.23,1486,355,0.44,4615.27,1894,0.12,9.03,0.3,42,550,449.14,55.86
763517.81,1338,259,0.45,5394.91,1072,0.19,7.23,1.2,42,550,463.11,55.86
787223.4,1028,492,0.04,5217.04,1988,0.21,7.85,0.7,42,550,424.39,55.86
1061033.8,1945,538,0.09,4134.09,1751,0.23,8.76,1.2,42,550,455.02,55.86
1045140.03,1837,505,0.15,3062.08,1764,0.17,9.14,0.9,42,550,467.22,55.86
609165.66,1287,269,0.23,3233.98,1528,0.38,9.31,1.1,42,550,467.16,55.86
345253.43,1974,773,0.47,6037.74,1201,0.28,7.34,0.2,42,550,412.62,55.86
313729.42,1328,441,0.14,3459.49,1437,0.31,9.91,0.3,42,550,416.67,55.86
542666.31,1876,315,0.02,1320.83,1642,0.23,9.79,0.5,42,550,475.18,55.86
894895.08,1764,546,0.49,3471.2,1589,0.31,7.63,1.0,42,550,413.22,55.86
931676.12,1602,418,0.17,3784.2,1415,0.13,9.24,0.9,42,550,449.44,55.86
354554.68,1563,297,0.09,3530.72,1946,0.33,10.75,0.4,42,550,452.25,55.86
619140.66,1713,577,0.39,4195.21,1546,0.22,10.63,0.6,42,550,449.66,55.86
731248.88,1675,463,0.22,1381.93,1865,0.35,7.78,0.9,42,550,469.53,55.86
845772.01,1806,787,0.06,6749.08,1395,0.3,8.05,1.0,42,550,455.16,55.86
504892.94,1772,396,0.27,3958.35,1714,0.29,9.16,0.5,42,550,422.89,55.86
347835.7,1383,288,0.24,4921.38,1067,0.38,7.94,0.4,42,550,462.46,55.86
1250000.48,1149,507,0.27,1712.31,1651,0.1,8.56,0.9,42,550,416.43,55.86
579446.37,1573,321,0.33,4758.99,1842,0.37,8.81,0.8,42,550,431.48,55.86
701341.3,1139,735,0.44,3007.25,1300,0.19,10.0,0.6,42,550,421.24,55.86
991338.55,1054,443,0.23,2012.01,1970,0.19,8.56,1.1,42,550,414.26,55.86
1140563.85,1127,359,0.43,1055.4,1150,0.11,10.04,1.1,42,550,449.14,55.86
418557.95,1543,531,0.08,2569.52,1355,0.19,10.8,0.3,42,550,467.46,55.86
617006.98,1652,591,0.42,2176.55,1251,0.26,7.72,0.5,42,550,438.2,55.86
387849.35,1984,431,0.34,5553.56,1162,0.29,7.4,0.3,42,550,470.5,55.86
1432768.23,1510,660,0.41,4095.99,1238,0.2,7.02,1.2,42,550,451.66,55.86
791423.88,1416,303,0.36,3615.31,1230,0.16,9.68,0.8,42,550,448.95,55.86
630004.22,1156,621,0.19,5318.29,1692,0.35,10.72,1.1,42,550,464.54,55.86
486652.7,1451,666,0.38,5485.08,1562,0.28,8.11,0.4,42,550,449.8,55.86
522259.22,1743,669,0.07,5858.47,1151,0.18,10.49,0.4,42,550,466.43,55.86
593199.49,1372,254,0.05,4013.79,1036,0.22,7.09,0.7,42,550,449.1,55.86
916671.92,1538,452,0.25,4878.24,1838,0.14,9.95,0.7,42,550,484.1,55.86
301015.19,1842,279,0.03,2945.15,1449,0.37,10.84,0.4,42,550,455.97,55.86
675387.1,1106,567,0.01,3208.31,1173,0.17,10.1,0.6,42,550,459.06,55.86
1378012.11,1447,596,0.48,5618.99,1740,0.15,7.58,0.9,42,550,412.05,55.86
459455.22,1662,647,0.37,6646.27,1819,0.29,9.39,0.4,42,550,452.38,55.86
1142956.45,1421,764,0.08,5869.62,1488,0.1,8.93,0.6,42,550,421.72,55.86
1013122.78,1096,743,0.21,4267.18,1360,0.22,8.9,1.1,42,550,414.58,55.86
405330.55,1260,683,0.31,2095.61,1859,0.32,8.51,0.3,42,550,477.97,55.86
336747.68,1410,543,0.46,5746.79,1615,0.34,9.22,0.3,42,550,425.09,55.86
485911.1,1431,715,0.28,6563.81,1181,0.31,10.04,0.6,42,550,454.86,55.86
311165.25,1344,562,0.15,1448.79,1674,0.35,10.84,0.3,42,550,434.51,55.86
1006742.11,1737,499,0.14,2902.02,1099,0.14,10.53,1.0,42,550,472.4,55.86
763484.97,1685,263,0.31,3335.85,1347,0.27,9.85,1.1,42,550,424.96,55.86
457087.56,1369,365,0.43,1883.51,1005,0.36,10.3,0.7,42,550,449.6,55.86
333621.26,1086,337,0.11,1225.58,1371,0.36,7.52,0.3,42,550,416.9,55.86
653500.67,1493,474,0.42,6087.32,1194,0.18,7.06,0.4,42,550,469.9,55.86
499193.84,1299,723,0.26,2312.85,1102,0.39,9.52,0.7,42,550,441.49,55.86
631369.95,1390,486,0.35,6259.78,1050,0.25,10.68,0.8,42,550,414.46,55.86
743210.38,1180,371,0.22,6383.21,1903,0.26,7.13,1.0,42,550,477.34,55.86
760246.71,1223,406,0.02,3362.24,1533,0.27,7.98,1.0,42,550,431.48,55.86
312718.66,1928,250,0.46,6501.04,1306,0.34,10.93,0.4,42,550,419.46,55.86
260094.19,1886,466,0.36,2505.43,1880,0.33,10.4,0.2,42,550,454.63,55.86
308354.92,1004,642,0.17,2494.22,1388,0.24,9.82,0.2,42,550,418.68,55.86
539079.44,1862,797,0.29,5011.46,1578,0.27,9.53,0.5,42,550,473.66,55.86
639752.15,1959,374,0.03,5087.7,1287,0.33,9.41,0.9,42,550,430.29,55.86
556725.29,1072,574,0.45,2215.49,1330,0.17,7.47,0.3,42,550,470.73,55.86
763281.69,1551,759,0.1,5943.8,1601,0.32,7.68,0.9,42,550,467.23,55.86
252616.64,1207,685,0.38,3906.19,1707,0.39,10.46,0.2,42,550,432.02,55.86
955766.61,1243,524,0.4,1134.9,1682,0.24,9.47,1.1,42,550,458.73,55.86
420801.45,1066,479,0.12,5177.37,1458,0.2,9.06,0.3,42,550,440.14,55.86
790088.96,1479,347,0.18,4419.96,1722,0.11,9.11,0.7,42,550,467.53,55.86
439428.78,1932,428,0.05,1522.21,1913,0.4,8.66,0.5,42,550,461.79,55.86
961149.35,1965,388,0.2,1610.76,1276,0.18,9.75,0.9,42,550,464.02,55.86
781587.87,1693,518,0.0,1772.88,1666,0.28,10.43,1.1,42,550,467.82,55.86
1196439.78,1795,458,0.47,1803.13,1553,0.16,7.83,0.8,42,550,420.86,55.86
1156316.91,1047,738,0.28,2029.29,1320,0.12,7.56,0.6,42,550,480.31,55.86
528138.6,1998,728,0.39,6632.11,1269,0.21,10.16,0.4,42,550,426.61,55.86
1276010.5,1854,766,0.25,6175.06,1126,0.12,8.61,0.8,42,550,512.04,55.86
675492.98,1756,610,0.21,4448.55,1638,0.38,8.86,1.0,42,550,458.41,55.86
511187.21,1275,223,0.06,6138.56,1244,0.34,7.9,0.7,42,550,449.26,55.86
941435.02,1814,393,0.3,1587.5,1931,0.23,8.45,0.9,42,550,431.5,55.86
886747.93,1353,379,0.16,2396.23,1975,0.14,7.2,0.8,42,550,459.7,55.86
1043046.13,1234,619,0.34,3673.1,1118,0.13,7.71,0.6,42,550,497.94,55.86
331081.19,1821,697,0.41,4317.64,1131,0.25,8.26,0.2,42,550,419.61,55.86
693337.69,1904,604,0.33,3745.81,1996,0.36,9.69,1.0,42,550,462.52,55.86
1305708.7,1643,791,0.12,1086.18,1776,0.14,7.25,0.7,42,550,466.02,55.86
394686.07,1178,281,0.32,2770.54,1423,0.38,8.39,0.5,42,550,462.53,55.86
654347.03,1914,779,0.13,2342.14,1048,0.39,9.35,1.0,42,550,455.64,55.86
601879.09,1217,340,0.1,2825.5,1084,0.21,10.9,0.7,42,550,448.98,55.86
626582.45,1706,233,0.24,4687.96,1020,0.24,7.41,0.6,42,550,466.61,55.86
816635.79,1503,632,0.16,3872.31,1408,0.17,8.71,0.6,42,550,422.56,55.86
