,people,NPC,Capacity,Inv per HH
grid,3178509.0,1554.0,273.1,1808.0
microgrid,183559.0,102.0,13.6,1615.0
SHS,493225.0,236.0,239.5,1326.0
Total,3855293.0,1892.0,526.2,1620.0
