,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
12957,SA_PV2012,Highlands,3152,50.96026265964444,99.0,99.0,0.43703988,99.0,MG_Hybrid_HighLands2025,0.43703988,174.23793,-7.459577,6.3895082,16.416891,15.346822,115673.21,489.50864,85290.98,0.0
12962,SA_PV2012,Highlands,2631,107.21515416200592,99.0,99.0,0.3460297,99.0,MG_Hybrid_HighLands2025,0.3460297,366.5787,-5.626374,11.834911,29.228838,35.437374,177516.56,347.9184,127539.47,0.0
12970,SA_PV2012,Highlands,3493,54.03068124459283,99.0,99.0,0.435508,99.0,MG_Hybrid_HighLands2025,0.435508,184.73598,-7.041485000000001,6.686308400000001,17.031893,16.676716,121086.99,484.9275,89583.56,0.0
12976,Non,Highlands,3816,66.03715775753386,99.0,99.0,0.40134057,99.0,MG_Hybrid_HighLands2025,0.40134057,225.78726,-6.2472796,7.8483979999999995,19.681313,21.282429999999998,132576.44,427.24304000000006,96466.03,0.0
12977,SA_PV2012,Highlands,2460,57.67515951212636,99.0,99.0,0.41272306,99.0,MG_Hybrid_HighLands2025,0.41272306,197.1968,-7.343430499999999,7.039566000000001,17.799823999999997,17.495957999999998,121384.72,451.08466,88952.445,0.0
12982,SA_PV2012,Highlands,3033,95.20853668189959,99.0,99.0,0.3743085,99.0,MG_Hybrid_HighLands2025,0.3743085,325.52695,-5.2378626,10.671871000000001,26.274544,31.708551,171533.28,384.13437000000005,125046.086,0.0
13092,SA_PV2012,Lowlands,321,70.76673360198029,99.0,0.44712374,99.0,99.0,MG_Hybrid_LowLands2025,0.44712374,241.95811,-1.5733892,6.735046400000001,5.617024400000001,10.778682,136662.75,525.50397,127149.95,0.0
13124,SA_PV2012,Highlands,3832,80.93761670412626,99.0,99.0,0.39384824,99.0,MG_Hybrid_HighLands2025,0.39384824,276.73334,-5.032442,9.289949,22.944223,27.201729999999998,156086.88,411.85815,113974.875,0.0
13190,SA_PV2012,Highlands,3677,54.19189612416797,99.0,99.0,0.54084754,99.0,MG_Hybrid_HighLands2025,0.54084754,185.28718999999998,-5.1333747,6.699904400000001,16.901028,18.467558,152418.5,629.2624,116594.26,0.0
13237,SA_PV2012,Highlands,4450,50.337697532275136,99.0,99.0,0.43301666,99.0,MG_Hybrid_HighLands2025,0.43301666,172.10933,-6.5276629999999995,6.328132599999999,16.237054999999998,16.037525,114084.57,488.82755,84131.77,0.0
13261,Non,Highlands,4126,58.699695777975094,99.0,99.0,0.41051394,99.0,MG_Hybrid_HighLands2025,0.41051394,200.69978,-6.3200345,7.137606599999999,17.971384,18.788956,122970.21,449.6964,90253.97,0.0
13264,SA_PV2012,Highlands,3403,80.91350497595343,99.0,99.0,0.3772542,99.0,MG_Hybrid_HighLands2025,0.3772542,276.65088,-3.684649,9.286292,22.813488,28.415129999999998,150987.66,394.4113,109114.234,0.0
13298,SA_Diesel2012,Highlands,2811,55.83869069371399,99.0,99.0,0.42095307,99.0,MG_Hybrid_HighLands2025,0.42095307,190.91773999999998,-7.7237860000000005,6.8621774,17.402517,16.540909,120606.086,463.457,88482.16,0.0
13328,Non,Highlands,3604,73.37461970784511,99.0,99.0,0.3834428,99.0,MG_Hybrid_HighLands2025,0.3834428,250.87472999999997,-5.924858599999999,8.558194,21.168001,23.801336,139269.97,404.89563,101578.08,0.0
13354,SA_PV2012,Highlands,2916,68.6630571612488,99.0,99.0,0.39511448,99.0,MG_Hybrid_HighLands2025,0.39511448,234.76546000000002,-6.650589,8.103015,20.235155,21.687582,135098.2,418.59192,98270.92,0.0
13428,Non,Lowlands,211,56.25387512787135,99.0,0.46895415,99.0,99.0,MG_Hybrid_LowLands2025,0.46895415,192.3373,-1.2653254999999999,5.6681422999999995,4.570641,8.973458,117739.49,570.90216,109805.78,0.0
13485,SA_PV2012,Lowlands,275,62.002225027899115,99.0,0.6626004,99.0,99.0,MG_Hybrid_LowLands2025,0.6626004,211.99143999999998,-0.9055122999999999,6.090822,4.23567,9.42098,173960.69,752.5585,159535.95,0.0
13547,SA_PV2012,Highlands,3853,58.096301348606346,99.0,99.0,0.4103575,99.0,MG_Hybrid_HighLands2025,0.4103575,198.63672,-8.255646,7.082095599999999,17.942083,16.768532,123961.1,445.17093,88427.3,0.0
13552,SA_PV2012,Highlands,987,55.62608697955146,99.0,99.0,0.40916490000000005,99.0,MG_Hybrid_HighLands2025,0.40916490000000005,190.19083,-8.434118,6.844626,17.445733999999998,15.856243,124685.336,444.31073,84503.82,0.0
13591,SA_Diesel2012,Lowlands,145,58.12854431633206,99.0,0.488333,99.0,99.0,MG_Hybrid_LowLands2025,0.488333,198.74696,-1.6736799999999998,5.80587,4.675319,8.807509,127002.81,593.68494,117993.08,0.0
13610,SA_PV2012,Lowlands,190,64.00638051534222,99.0,0.4523304,99.0,99.0,MG_Hybrid_LowLands2025,0.4523304,218.84384,-1.2764795,6.2380977,5.031502,9.99312,125993.06,536.6006,117431.73,0.0
13629,Non,Highlands,2728,57.476785438299466,99.0,99.0,0.40846170000000004,99.0,MG_Hybrid_HighLands2025,0.40846170000000004,196.51854,-7.7659554,7.020867999999999,17.746945999999998,17.001858,120131.836,445.8101,87609.945,0.0
13635,SA_PV2012,Highlands,3663,60.774037439458255,99.0,99.0,0.412229,99.0,MG_Hybrid_HighLands2025,0.412229,207.79214,-7.139628999999999,7.339431299999999,18.46582,18.66562,126750.97,447.65935999999994,93020.1,0.0
13640,SA_Diesel2012,Lowlands,318,146.29238240489119,99.0,0.34202,99.0,99.0,MG_Hybrid_LowLands2025,0.34202,500.1874,-1.2888846,12.287827499999999,12.195978,23.194921,196702.2,367.1966,183667.12,0.0
13649,SA_PV2012,Highlands,3099,74.27791713978812,99.0,99.0,0.44050878,99.0,MG_Hybrid_HighLands2025,0.44050878,253.96318,-7.401878,8.648764,21.58449,22.831375,165265.48,470.45914000000005,119479.305,0.0
13726,SA_PV2012,Highlands,3712,62.17296091194496,99.0,99.0,0.41078874,99.0,MG_Hybrid_HighLands2025,0.41078874,212.5752,-6.7700295,7.4743805,18.724234,19.428585,128858.64,446.24585,94860.805,0.0
13729,SA_PV2012,Lowlands,295,53.44354929549974,99.0,0.50203395,99.0,99.0,MG_Hybrid_LowLands2025,0.50203395,182.72852,-1.1495695,5.4615540000000005,3.8144273999999996,8.126411000000001,119247.44,606.58057,110839.57,0.0
13754,SA_PV2012,Lowlands,241,65.42142547227675,99.0,0.4627179,99.0,99.0,MG_Hybrid_LowLands2025,0.4627179,223.68200000000002,-1.1897944999999999,6.3421525999999995,4.666949,9.819307,129671.22,539.1062599999999,120588.375,0.0
13761,SA_PV2012,Lowlands,214,69.92662370190608,99.0,0.4358903,99.0,99.0,MG_Hybrid_LowLands2025,0.4358903,239.08571,-1.2433512,6.6733637,5.050783999999999,10.480796,129627.836,505.11456,120765.67,0.0
13764,Non,Highlands,3491,74.59753004752075,99.0,99.0,0.37700662,99.0,MG_Hybrid_HighLands2025,0.37700662,255.05597000000003,-7.285054700000001,8.678289,21.509644,22.902878,139649.08,395.50513,100875.945,0.0
13767,Non,Highlands,3668,56.25387512787135,99.0,99.0,0.4146593,99.0,MG_Hybrid_HighLands2025,0.4146593,192.3373,-6.9898686,6.9014783,17.475948000000002,17.387558,119423.02,456.1859,87741.56,0.0
13777,SA_PV2012,Highlands,3327,213.0833873340416,99.0,99.0,0.3081958,99.0,MG_Hybrid_HighLands2025,0.3081958,728.5521,-4.187069999999999,22.084639000000003,57.549366000000006,75.44694,316536.4,298.2405,217283.77,0.0
13804,SA_Diesel2012,Highlands,2167,69.95683385747691,99.0,99.0,0.40570685,99.0,MG_Hybrid_HighLands2025,0.40570685,239.18900000000002,-6.917085,8.228284,20.430613,21.741812,141066.9,434.5069,103929.266,0.0
