,people,NPC,Capacity,Inv per HH
grid,3306969.0,1635.0,280.0,1813.0
microgrid,53399.0,44.0,5.0,2413.0
SHS,494925.0,230.0,217.0,1293.0
Total,3855293.0,1909.0,502.0,1624.0
